﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,0,1,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,13,4,120.664348,24.17919,3
2,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,0,21,臺中市,西屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,4,11,5,4,B03,7,5,1,8,1,2,,38,38,1,12,4,120.649796,24.162755,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,0,43,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,84,84,1,12,4,120.708125,24.149156,3
4,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,0,46,臺中市,大里區,0,0,0,6,,,50,,,,,,,,,,,,,,30,,,,,B03,,,1,,2,,,40,40,1,12,4,120.675563,24.103059,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,0,47,臺中市,北屯區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,2,9,5,4,C03,7,9,1,10,2,13,,24,24,1,12,4,120.682742,24.174859,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,1,5,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,49,49,1,13,4,120.684664,24.158955,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,2,31,臺中市,南區,0,1,0,7,1,6,50,3,2,1,5,4,6,6,4,4,3,4,4,2,17,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.663491,24.124639,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,2,32,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,18,,,,,B12,,,,,,,,84,84,1,13,4,120.610125,24.170534,3
9,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,2,34,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,C03,,,1,,1,,,13,13,1,6,4,120.678659,24.174939,3
10,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,2,47,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,40,40,1,,,120.62029,24.152582,3
11,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,3,5,臺中市,南屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,3,1,5,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,12,,24,24,1,12,4,120.611712,24.139036,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,5,0,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,55,55,1,13,4,120.616538,24.17616,3
13,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,5,5,臺中市,大里區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,28,2,9,1,1,C03,7,9,1,10,2,11,,59,59,1,6,4,120.718899,24.08177,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,5,10,臺中市,西屯區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B02,7,5,1,8,7,1,,59,59,1,12,4,120.633958,24.163528,2
15,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,5,55,臺中市,西屯區,0,1,0,7,2,6,40,13,17,1,5,4,6,6,4,4,1,5,1,2,23,2,9,5,4,B03,7,9,1,8,2,8,,59,59,1,13,4,120.647781,24.196458,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,6,19,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,A04,,,1,,2,,,85,85,1,12,4,120.687791,24.136731,4
17,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,6,58,臺中市,龍井區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,5,5,1,12,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,12,4,120.582269,24.17711,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,7,19,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,30,,,,,B03,,,1,,2,,,59,59,1,12,4,120.628439,24.188761,3
19,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,7,44,臺中市,梧棲區,0,1,0,7,1,6,60,3,2,1,5,4,6,6,2,1,10,4,5,1,16,2,9,1,1,C03,7,6,1,10,2,11,,11,11,1,12,4,120.537287,24.252836,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,7,45,臺中市,大雅區,0,1,0,7,2,6,40,3,1,1,5,4,6,6,1,1,10,4,4,1,17,2,9,1,1,C03,7,8,3,19,2,13,,85,85,1,12,4,120.633101,24.237964,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,7,46,臺中市,霧峰區,0,0,0,7,,,40,,,,,,,,,,,,,,18,,,,,H01,,,7,,10,,,109,109,1,13,5,120.692155,24.05953,3
22,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,15,臺中市,東區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,G01,,,1,,9,,,59,59,1,12,4,120.689808,24.135914,3
23,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,26,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,A12,,,1,,2,,,8,8,1,12,4,120.562465,24.280473,3
24,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,34,臺中市,北屯區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,84,84,1,13,4,120.715125,24.17188,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,34,臺中市,神岡區,0,1,0,7,2,6,30,4,1,1,5,4,5,6,3,1,1,5,5,1,18,2,6,1,1,C03,7,5,1,10,2,16,,82,82,1,12,4,120.648157,24.253755,2
26,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,40,臺中市,后里區,0,1,0,7,1,6,60,4,2,1,5,4,6,6,1,1,1,2,4,2,13,3,10,3,1,A41,7,9,1,1,2,1,,7,7,1,12,4,120.705519,24.316178,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,41,臺中市,大肚區,0,0,0,7,,,30,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,82,82,1,9,4,120.578391,24.17476,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,45,臺中市,霧峰區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,13,4,120.698981,24.067806,2
29,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,8,57,臺中市,大肚區,0,0,0,7,,,50,,,,,,,,,,,,,,2,,,,,C03,,,1,,2,,,51,51,1,12,4,120.580533,24.172952,4
30,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,8,臺中市,太平區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,H04,,,7,,2,,,109,109,1,13,4,120.701505,24.149538,3
31,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,10,臺中市,烏日區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,49,49,1,6,4,120.643098,24.112063,3
32,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,20,臺中市,大雅區,0,1,0,7,2,6,0,4,1,1,5,4,6,6,2,1,10,4,5,1,17,2,9,1,1,C03,7,9,1,10,2,11,,39,39,1,12,4,120.654354,24.229388,2
33,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,30,臺中市,北屯區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,2,1,3,3,5,2,16,3,10,2,1,C03,7,5,1,10,2,15,,14,14,1,13,4,120.699657,24.182576,2
34,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,43,臺中市,太平區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,41,41,1,12,4,120.752883,24.159263,3
35,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,9,56,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,1,12,,21,21,1,6,4,120.694113,24.170259,2
36,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,0,臺中市,北屯區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,2,1,10,5,5,2,17,2,9,5,4,F01,7,9,7,21,2,12,,21,21,1,13,4,120.721333,24.178204,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,2,臺中市,梧棲區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,59,59,1,12,4,120.553788,24.250854,3
38,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,14,臺中市,東區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,1,1,9,4,5,2,17,2,9,1,1,C03,7,9,1,10,2,14,,8,8,1,12,4,120.690549,24.143002,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,22,臺中市,清水區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,11,,,84,84,1,12,4,120.581456,24.27874,3
40,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,27,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,13,2,9,5,4,F01,7,9,7,21,2,12,,59,59,1,12,4,120.746436,24.191625,2
41,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,28,臺中市,北區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,77,77,1,12,4,120.683735,24.147015,4
42,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,28,臺中市,豐原區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,84,84,1,13,4,120.729757,24.251277,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,31,臺中市,西區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,17,3,10,3,1,B03,7,11,1,8,2,2,,45,45,1,13,4,120.665327,24.144542,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,36,臺中市,豐原區,0,1,0,7,2,6,50,4,7,1,5,4,6,6,1,1,5,5,4,2,17,2,7,5,4,C03,7,9,1,10,2,12,,8,8,1,13,4,120.70554,24.238018,2
45,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,42,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.617776,24.173796,3
46,66000,387130000C,(04)23274275,(04)23288582,2025,06,1,10,52,臺中市,西區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,17,3,10,1,1,C03,7,15,1,10,2,16,,42,42,1,6,2,120.661474,24.143589,2
