﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
"85","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","22","臺中市","太平區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","4","4","5","4","5","1","17","2","9","3","1","B12","7","1","5","19","8","1","","53","53","1","13","4","120.748188","24.126234","2"
"86","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","24","臺中市","潭子區","0","1","0","7","3","6","50","4","1","1","5","4","6","6","2","1","1","4","4","1","12","3","10","3","1","B03","7","5","1","8","2","2","","11","11","1","13","4","120.693182","24.216054","2"
"87","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","24","臺中市","神岡區","0","2","0","7","1","6","60","13","14","1","5","4","6","6","4","4","1","4","5","1","20","2","9","1","1","C03","7","9","3","19","2","12","","55","55","1","12","4","120.666718","24.275462","2"
"88","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","25","臺中市","大雅區","0","0","0","6","","","30","","","","","","","","","","","","","","","","","","","B12","","","1","","1","","","51","51","1","12","4","120.63418","24.235728","3"
"89","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","26","臺中市","西區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","C03","","","1","","1","","","58","58","1","12","4","120.67493","24.14914","3"
"90","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","27","臺中市","南區","0","0","0","7","","","30","","","","","","","","","","","","","","14","","","","","B03","","","1","","1","","","49","49","1","13","4","120.669291","24.124576","3"
"91","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","31","臺中市","中區","0","0","0","6","3","6","50","4","1","1","5","4","6","6","2","1","8","3","4","2","12","","","","","B03","","","1","","2","","","11","11","1","13","4","120.675776","24.144206","3"
"92","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","34","臺中市","豐原區","0","1","0","6","2","6","50","13","8","1","5","4","6","6","1","1","5","4","4","2","17","2","8","1","1","F02","7","9","7","21","9","16","","54","54","1","12","4","120.70724","24.246933","2"
"93","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","37","臺中市","東區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","16","2","8","2","1","C03","7","9","1","10","2","11","","84","84","1","12","4","120.701389","24.125419","2"
"94","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","38","臺中市","西區","0","0","0","6","","","50","","","","","","","","","","","","","","12","","","","","B03","","","1","","1","","","84","84","1","12","4","120.656724","24.150838","3"
"95","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","40","臺中市","龍井區","0","1","0","7","2","6","30","13","9","1","5","4","6","6","4","4","10","5","5","2","30","3","10","5","4","C03","7","9","1","10","2","15","","43","43","1","12","4","120.587721","24.178027","2"
"96","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","41","臺中市","北區","0","2","0","7","2","6","30","4","1","1","5","4","6","6","4","4","10","5","5","2","15","2","8","5","4","C03","7","9","1","10","2","12","","15","15","1","13","4","120.683601","24.14677","2"
"97","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","41","臺中市","南區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","1","","","49","49","1","12","4","120.675286","24.125138","3"
"98","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","43","臺中市","太平區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","5","5","5","1","17","3","10","2","1","C03","7","15","1","10","2","14","","42","42","1","12","4","120.731209","24.140254","2"
"99","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","55","臺中市","北屯區","0","0","0","7","","","30","","","","","","","","","","","","","","12","","","","","B03","","","1","","1","","","51","51","1","12","4","120.690269","24.177846","3"
"100","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","55","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","26","","","","","B03","","","1","","2","","","28","28","1","13","4","120.628947","24.204595","3"
"101","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","59","臺中市","太平區","0","0","0","7","2","6","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","1","","84","84","1","12","4","120.724611","24.137527","3"
"102","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","59","臺中市","梧棲區","0","0","0","6","","","50","","","","","","","","","","","","","","13","","","","","C03","","","1","","1","","","7","7","1","12","4","120.536474","24.252449","3"
"103","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","12","0","臺中市","南屯區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","4","4","9","4","5","2","17","3","10","1","1","C03","7","6","3","19","2","13","","39","39","1","12","4","120.610828","24.138551","2"
"104","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","12","3","臺中市","中區","0","2","0","7","2","6","50","4","1","1","5","4","6","6","2","1","5","2","5","2","12","3","10","3","1","B01","7","9","1","4","2","5","","8","8","1","13","4","120.683709","24.138725","2"
"105","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","12","5","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","11","","","","","B03","","","1","","2","","","8","8","1","6","4","120.702693","24.173655","3"
"106","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","12","10","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","B03","","","1","","1","","","40","40","1","13","4","120.642097","24.172613","3"
"107","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","12","10","臺中市","大里區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","51","51","1","12","4","120.674697","24.109579","3"
