﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
"1","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","9","臺中市","北屯區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","16","3","10","3","1","B03","7","5","1","8","2","5","","47","47","1","12","4","120.668258","24.200792","2"
"2","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","10","臺中市","大里區","0","0","0","7","","","50","","","","","","","","","","","","","","16","","","","","C03","","","1","","1","","","47","47","1","6","4","120.686574","24.095417","3"
"3","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","16","臺中市","沙鹿區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","B03","","","1","","9","","","78","78","1","6","4","120.577341","24.221685","3"
"4","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","23","臺中市","西屯區","0","1","0","7","1","6","40","13","8","1","5","4","6","6","4","4","1","5","1","2","13","3","10","2","1","C03","7","9","1","10","2","11","","7","7","1","5","4","120.615268","24.182938","2"
"5","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","28","臺中市","北屯區","0","2","0","7","1","6","50","4","1","1","5","4","6","6","3","1","10","5","5","2","16","3","10","3","3","B03","7","9","1","8","2","4","","24","24","1","12","4","120.693718","24.176402","2"
"6","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","44","臺中市","北區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","1","3","5","2","13","2","9","2","1","C03","7","9","1","10","2","11","","7","7","1","13","4","120.671841","24.172579","2"
"7","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","0","59","臺中市","豐原區","0","1","0","7","1","6","50","13","9","1","5","4","6","6","4","4","5","5","5","2","3","3","10","3","1","B03","7","9","1","8","2","1","","84","84","1","12","4","120.699894","24.246088","2"
"8","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","1","16","臺中市","烏日區","0","2","0","7","1","3","80","13","9","1","5","4","6","6","4","4","1","4","5","1","12","2","1","3","2","B03","7","8","1","8","2","5","","7","7","1","6","4","120.616521","24.107356","2"
"9","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","1","26","臺中市","南屯區","0","1","0","7","1","6","50","4","1","1","5","4","6","6","4","4","10","5","5","2","18","2","9","1","1","C03","7","9","1","10","2","12","","84","84","1","12","4","120.644723","24.138077","2"
"10","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","1","29","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","B03","","","1","","1","","","84","84","1","12","4","120.612254","24.150463","3"
"11","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","2","16","臺中市","太平區","0","1","0","7","1","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","15","3","10","3","1","B01","7","9","1","8","2","1","","21","21","1","12","4","120.714688","24.141458","2"
"12","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","2","40","臺中市","北區","0","1","0","7","2","6","50","3","4","1","5","4","6","6","1","1","2","4","5","2","13","3","10","3","1","B01","7","9","1","7","2","1","","84","84","1","12","4","120.684207","24.149774","2"
"13","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","2","43","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","A12","","","1","","1","","","59","59","2","13","4","120.639156","24.179872","3"
"14","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","2","44","臺中市","龍井區","0","0","0","7","","","30","","","","","","","","","","","","","","30","","","","","C03","","","1","","2","","","84","84","1","10","4","120.592738","24.181178","3"
"15","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","2","58","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","B03","","","1","","1","","","59","59","1","12","4","120.645191","24.162759","3"
"16","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","5","21","臺中市","東區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","59","59","1","13","4","120.691777","24.127419","3"
"17","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","5","44","臺中市","龍井區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","45","45","1","12","4","120.52505","24.202681","3"
"18","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","6","50","臺中市","豐原區","0","1","0","7","2","6","30","4","9","1","5","4","6","6","4","4","10","5","5","2","11","2","9","5","4","C03","7","9","1","10","2","11","","43","43","1","12","4","120.710022","24.252584","2"
"19","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","7","5","臺中市","北屯區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","2","1","10","5","5","2","11","3","10","3","1","B12","7","6","1","8","2","1","","11","11","1","6","4","120.704783","24.16949","2"
"20","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","7","14","臺中市","西屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","C03","","","1","","1","","","84","84","1","12","4","120.651201","24.166899","3"
"21","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","7","19","臺中市","北區","0","1","0","7","2","6","50","4","9","1","5","4","6","6","4","4","5","4","5","2","17","3","10","3","1","B03","7","1","1","8","2","8","","51","51","1","12","4","120.670503","24.159217","2"
"22","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","7","53","臺中市","東勢區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","B03","","","1","","1","","","59","59","1","12","4","120.826701","24.260198","3"
"23","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","5","臺中市","北屯區","0","2","0","7","2","6","50","13","9","1","5","4","6","6","4","4","9","4","5","2","17","2","8","1","1","C03","7","8","1","10","2","12","","59","59","1","12","4","120.747669","24.194456","2"
"24","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","12","臺中市","烏日區","0","0","0","7","2","6","50","3","2","1","5","4","6","6","4","4","3","4","4","1","14","","","","","B03","","","1","","1","","","49","49","1","6","4","120.641293","24.108663","3"
"25","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","27","臺中市","太平區","0","2","0","7","2","6","50","4","1","1","5","4","6","6","4","4","10","5","5","2","17","2","8","2","1","C03","7","15","1","10","2","14","","39","39","1","12","4","120.731155","24.112629","2"
"26","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","38","臺中市","太平區","0","2","0","7","2","6","50","3","1","1","5","4","6","6","4","4","10","5","5","1","16","2","8","2","1","C03","7","11","1","10","2","11","","7","7","1","13","4","120.721122","24.120208","2"
"27","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","40","臺中市","太平區","0","0","0","7","","","30","","","","","","","","","","","","","","17","","","","","B01","","","1","","9","","","84","84","2","12","4","120.722407","24.136861","3"
"28","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","42","臺中市","大里區","0","1","0","6","3","6","60","13","12","1","5","4","6","6","4","4","1","4","4","2","13","3","10","3","1","B03","7","7","1","8","2","6","","84","84","1","6","4","120.667488","24.105141","2"
"29","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","50","臺中市","西區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","B03","","","1","","1","","","84","84","1","13","4","120.666988","24.140657","3"
"30","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","50","臺中市","太平區","0","2","0","7","2","6","30","3","1","1","5","4","6","6","4","4","10","5","5","2","16","2","8","2","1","C03","7","6","1","10","2","14","","12","12","1","12","4","120.724351","24.111391","2"
"31","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","52","臺中市","神岡區","0","1","0","6","1","6","30","4","1","1","5","4","6","6","4","4","10","5","5","1","16","2","9","1","1","C03","7","6","1","10","2","11","","12","12","1","12","4","120.659861","24.2724","2"
"32","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","8","59","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","B01","","","1","","1","","","40","40","1","6","4","120.694868","24.164736","3"
"33","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","1","臺中市","北屯區","0","0","0","7","","","50","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","51","51","1","6","4","120.691452","24.166937","3"
"34","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","8","臺中市","沙鹿區","0","1","0","7","2","6","40","4","1","1","5","4","6","6","2","1","10","5","5","2","18","2","9","1","1","C03","7","9","1","10","2","12","","82","82","1","6","4","120.564691","24.23969","2"
"35","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","8","臺中市","東勢區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","C03","","","3","","1","","","59","59","1","13","4","120.832491","24.251304","3"
"36","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","8","臺中市","神岡區","0","0","0","7","","","30","","","","","","","","","","","","","","15","","","","","C03","","","1","","1","","","6","6","1","13","4","120.697826","24.246476","3"
"37","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","15","臺中市","大甲區","0","1","0","6","2","6","50","4","2","1","5","4","6","6","4","4","5","5","5","1","13","2","9","2","2","C03","7","9","1","10","2","11","","62","62","1","5","4","120.653582","24.378549","2"
"38","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","23","臺中市","沙鹿區","0","1","0","7","2","6","30","4","2","1","5","4","6","6","2","1","1","2","1","1","17","3","10","3","1","B03","7","9","1","8","2","8","","84","84","1","6","4","120.560836","24.241137","2"
"39","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","25","臺中市","南屯區","0","2","0","7","2","6","50","4","1","1","5","4","6","6","2","1","9","4","4","2","11","2","9","1","1","F03","7","6","7","21","2","11","","11","11","1","12","4","120.642692","24.148852","2"
"40","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","30","臺中市","西屯區","0","0","0","7","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","119","119","1","","","120.634677","24.169015","3"
"41","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","45","臺中市","南屯區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","2","1","5","4","4","2","16","3","10","3","1","B03","7","5","1","8","2","2","","11","11","1","12","4","120.649673","24.144945","2"
"42","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","45","臺中市","北屯區","0","1","0","7","3","6","50","3","1","1","5","4","6","6","4","4","10","5","5","2","18","2","9","1","1","F01","7","9","7","21","1","12","","84","84","1","3","4","120.766284","24.197175","2"
"43","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","45","臺中市","東勢區","0","0","0","7","3","4","50","4","2","1","5","4","6","6","4","4","4","3","4","1","13","3","10","5","4","B03","7","9","1","4","1","1","","7","7","1","13","4","120.817629","24.276386","3"
"44","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","49","臺中市","西區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","B02","","","1","","2","","","51","51","1","12","4","120.680587","24.139892","3"
"45","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","50","臺中市","北區","0","0","0","7","","","50","","","","","","","","","","","","","","17","","","","","B12","","","1","","2","","","49","49","1","13","4","120.670426","24.167386","3"
"46","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","50","臺中市","南屯區","0","1","0","6","2","6","50","13","8","1","5","4","6","6","4","4","5","4","4","2","17","3","10","1","1","C03","7","5","1","10","2","12","","65","65","1","6","4","120.64359","24.145946","2"
"47","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","52","臺中市","清水區","0","0","0","7","","","30","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","59","59","1","12","4","120.589445","24.297916","3"
"48","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","52","臺中市","豐原區","0","2","0","6","2","6","50","3","1","1","5","4","6","6","4","4","1","4","5","2","16","2","9","1","1","C03","7","5","1","10","2","12","","47","47","1","12","4","120.705291","24.249737","2"
"49","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","56","臺中市","北屯區","0","1","0","7","2","6","50","13","7","1","5","4","6","6","4","4","1","4","4","2","13","2","9","1","1","C03","7","9","1","10","2","11","","84","84","1","6","4","120.685042","24.169047","2"
"50","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","57","臺中市","神岡區","0","0","0","7","1","6","60","4","2","1","5","4","6","6","4","4","1","4","5","1","13","","","","","B03","","","1","","1","","","7","7","1","12","4","120.692946","24.248404","3"
"51","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","59","臺中市","大雅區","0","0","0","7","","","30","","","","","","","","","","","","","","","","","","","B03","","","1","","1","","","14","14","1","13","4","120.64319","24.208884","3"
"52","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","9","59","臺中市","北區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","3","1","10","5","5","2","18","2","9","5","4","C03","7","6","1","10","2","14","","84","84","1","13","4","120.697505","24.155736","2"
"53","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","0","臺中市","太平區","0","0","0","7","","","30","","","","","","","","","","","","","","14","","","","","B03","","","1","","1","","","49","49","1","13","4","120.718539","24.153268","3"
"54","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","0","臺中市","豐原區","0","1","0","7","2","6","30","12","9","1","5","4","6","5","1","1","10","5","5","2","17","4","11","5","4","F01","7","5","7","21","2","15","","84","84","1","12","4","120.745251","24.255383","2"
"55","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","1","臺中市","沙鹿區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","4","4","10","5","5","2","12","3","10","2","1","C03","7","7","1","10","2","13","","40","40","1","6","4","120.568692","24.222766","2"
"56","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","4","臺中市","中區","0","2","0","6","3","6","50","13","9","4","5","4","6","6","4","4","10","5","5","2","12","2","8","1","1","C03","7","6","1","10","2","14","","84","84","1","6","4","120.682055","24.138268","2"
"57","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","6","臺中市","北屯區","0","0","0","7","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","119","119","1","","","120.690762","24.162727","3"
"58","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","6","臺中市","西屯區","0","0","0","7","","","30","","","","","","","","","","","","","","17","","","","","C03","","","1","","2","","","59","59","1","13","4","120.655568","24.168218","4"
"59","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","7","臺中市","沙鹿區","0","1","0","7","2","6","50","13","7","1","5","4","3","6","4","4","1","4","4","2","12","2","8","2","1","C03","7","8","1","10","2","14","","85","85","1","12","4","120.560256","24.240341","2"
"60","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","20","臺中市","梧棲區","0","1","0","7","2","6","30","4","1","1","5","4","6","6","4","4","10","5","5","2","15","2","9","1","1","C03","7","9","3","19","2","11","","15","15","1","12","4","120.538224","24.233211","2"
"61","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","27","臺中市","北屯區","0","3","0","7","2","6","50","4","1","1","5","4","6","6","4","4","10","5","5","2","15","2","8","3","1","B03","7","9","1","8","6","4","1","12","12","1","6","4","120.679385","24.181739","2"
"62","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","27","臺中市","后里區","0","1","0","7","3","6","50","4","1","1","5","4","6","6","1","1","5","5","5","1","16","3","10","3","1","B12","7","5","1","8","2","2","","11","11","1","6","4","120.689092","24.31442","2"
"63","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","35","臺中市","南屯區","0","0","0","7","","","50","","","","","","","","","","","","","","14","","","","","B03","","","1","","2","","","49","49","1","12","4","120.611175","24.146666","3"
"64","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","35","臺中市","西屯區","0","0","0","7","","","40","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","59","59","1","12","4","120.604527","24.184433","3"
"65","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","37","臺中市","沙鹿區","0","1","0","6","2","6","30","3","2","1","5","4","6","6","4","4","10","5","5","2","11","2","9","2","1","C03","7","6","1","10","2","11","","41","41","1","6","4","120.58181","24.239407","2"
"66","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","38","臺中市","北區","0","1","0","7","3","6","50","18","24","1","5","4","6","6","2","1","10","4","4","2","17","2","9","5","4","C03","7","8","1","10","2","13","","40","40","1","13","4","120.679801","24.152104","2"
"67","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","39","臺中市","北屯區","0","1","0","7","2","6","50","3","1","1","5","4","6","6","4","4","10","5","5","2","16","3","10","3","1","B03","7","11","1","8","2","8","","45","45","1","6","4","120.669433","24.176173","2"
"68","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","44","臺中市","太平區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","1","1","10","5","5","2","16","3","10","2","1","C03","7","6","1","10","2","12","","36","36","1","12","4","120.721047","24.133778","2"
"69","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","45","臺中市","大甲區","0","0","0","7","","","50","","","","","","","","","","","","","","13","","","","","A12","","","1","","1","","","82","82","1","6","4","120.659869","24.398522","3"
"70","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","46","臺中市","豐原區","0","0","0","7","","","30","","","","","","","","","","","","","","","","","","","B12","","","1","","9","","","84","84","1","12","4","120.729485","24.244884","3"
"71","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","50","臺中市","東區","0","0","0","7","","","50","","","","","","","","","","","","","","12","","","","","B03","","","1","","9","","","8","8","1","12","4","120.693808","24.13477","3"
"72","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","51","臺中市","烏日區","0","2","0","7","2","6","30","10","9","1","5","4","6","6","4","4","3","4","5","1","18","2","9","2","1","C03","7","9","1","10","2","14","","59","59","1","6","4","120.618459","24.111009","2"
"73","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","10","57","臺中市","烏日區","0","2","0","7","2","6","30","4","1","1","5","4","6","6","3","1","10","5","5","2","15","2","9","5","4","B03","7","9","1","8","2","4","","24","24","1","13","4","120.648755","24.07312","2"
"74","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","0","臺中市","北屯區","0","0","0","7","","","30","","","","","","","","","","","","","","17","","","","","B03","","","1","","2","","","8","8","1","6","4","120.711487","24.173866","3"
"75","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","1","臺中市","北區","0","0","0","7","","","30","","","","","","","","","","","","","","13","","","","","C03","","","1","","2","","","7","7","1","12","4","120.667838","24.156927","3"
"76","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","2","臺中市","西區","0","1","0","6","2","6","50","4","1","1","5","4","6","6","1","1","9","4","5","2","12","3","10","1","1","C03","7","5","1","10","2","13","","84","84","1","12","2","120.66167","24.147867","2"
"77","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","3","臺中市","豐原區","0","4","0","7","2","6","60","13","7","1","5","4","6","6","2","1","1","4","4","2","13","2","3","5","4","B03","7","1","1","8","2","1","","59","59","1","12","4","120.703319","24.246077","2"
"78","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","7","臺中市","西區","0","1","0","7","2","6","50","4","1","1","5","4","6","6","2","1","1","4","4","2","12","3","10","3","1","B03","7","5","1","8","2","5","","47","47","1","13","4","120.657366","24.145227","2"
"79","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","11","臺中市","北區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","9","5","5","2","17","3","10","5","1","B03","7","9","1","8","2","2","","8","8","1","13","4","120.678871","24.153815","2"
"80","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","15","臺中市","后里區","0","2","0","7","3","6","50","13","9","1","5","4","6","6","4","4","9","5","5","1","16","2","9","1","1","C04","7","6","1","10","2","11","","84","84","1","12","4","120.717151","24.306841","2"
"81","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","18","臺中市","神岡區","0","0","0","7","","","60","","","","","","","","","","","","","","12","","","","","B03","","","1","","2","","","7","7","1","13","4","120.689521","24.247821","3"
"82","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","20","臺中市","西屯區","0","1","0","7","2","6","30","3","2","1","5","4","6","6","4","4","10","5","5","2","11","2","9","1","1","C03","7","9","3","19","2","14","","8","8","1","12","4","120.643974","24.175959","2"
"83","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","20","臺中市","太平區","0","1","0","7","2","6","50","13","9","1","5","4","6","6","4","4","9","4","5","1","17","2","9","3","1","B12","7","9","5","19","8","1","","53","53","1","13","4","120.739808","24.131183","2"
"84","66000","387130000C","(04)23274275","(04)23288582","2026","2","1","11","21","臺中市","西屯區","0","0","0","6","","","50","","","","","","","","","","","","","","15","","","","","C03","","","1","","1","","","58","58","1","12","4","120.640868","24.167593","3"
