﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
11,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,5,43,臺中市,南屯區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,B03,,,1,,9,,,8,8,1,12,4,120.640083,24.139791,3
12,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,5,56,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,6,4,120.694851,24.079629,3
13,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,5,58,臺中市,北區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,18,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.677171,24.165195,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,7,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,13,4,120.606162,24.188145,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,25,臺中市,東區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,17,3,10,3,1,B03,7,5,1,7,2,2,,84,84,1,13,4,120.693977,24.132969,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,28,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,24,24,1,12,4,120.733325,24.170166,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,30,臺中市,西屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,18,2,9,1,1,C03,7,9,1,10,2,12,,59,59,1,12,4,120.655585,24.179505,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,33,臺中市,龍井區,0,0,0,7,,,60,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,51,51,1,12,4,120.52213,24.196904,3
19,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,40,臺中市,北區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,12,4,120.676549,24.150256,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,6,56,臺中市,北屯區,0,1,0,7,3,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,4,1,F01,7,6,7,21,2,11,,13,13,1,6,4,120.741247,24.179379,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,5,臺中市,西區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,1,1,5,5,5,2,17,2,9,1,1,C03,7,6,1,10,2,13,,48,48,1,12,4,120.670902,24.140244,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,5,臺中市,烏日區,0,1,0,7,2,6,60,13,9,1,5,4,6,6,4,4,5,4,5,1,17,3,10,3,1,B12,7,14,1,8,2,4,,76,76,1,6,4,120.656939,24.057672,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,15,臺中市,豐原區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,5,4,4,2,17,2,9,1,1,C03,7,5,1,10,2,11,,22,22,1,12,4,120.69797,24.244627,2
24,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,24,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B03,7,6,3,19,2,2,,11,11,1,6,4,120.681621,24.177957,2
25,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,33,臺中市,大雅區,0,2,0,7,1,6,50,3,9,1,5,4,6,6,1,1,5,4,5,1,13,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.656966,24.230486,2
26,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,35,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,8,8,1,12,4,120.611228,24.185552,3
27,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,39,臺中市,大里區,0,0,0,7,2,6,30,4,2,1,5,4,6,6,3,1,10,5,5,2,17,,,,,B03,,,1,,1,,,51,51,1,13,4,120.690242,24.106053,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,40,臺中市,梧棲區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B03,7,6,1,8,2,1,,48,48,1,12,4,120.531431,24.264685,2
29,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,43,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,5,1,B01,7,6,1,4,2,2,,48,48,1,6,4,120.669425,24.138863,2
30,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,44,臺中市,西區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,1,2,18,2,9,1,1,C03,7,9,1,10,2,16,,59,59,1,12,4,120.665769,24.153339,2
31,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,46,臺中市,南屯區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,4,2,17,3,10,1,1,C03,7,7,1,10,2,13,,40,40,1,6,4,120.63829,24.151648,2
32,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,49,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,58,58,1,12,4,120.680974,24.139281,3
33,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,49,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,17,2,9,6,1,F01,7,11,7,21,2,12,,39,39,1,12,1,120.667114,24.136564,2
34,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,52,臺中市,東勢區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,5,5,5,1,16,3,10,5,4,A12,7,6,1,7,2,7,,14,14,1,13,4,120.824776,24.266494,2
35,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,54,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,48,48,1,12,4,120.698064,24.141514,4
36,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,7,59,臺中市,梧棲區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,5,1,8,2,7,,47,47,1,12,4,120.551787,24.24433,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,8,臺中市,南區,0,1,0,7,3,6,50,3,2,1,5,4,6,6,4,4,1,4,4,2,12,3,10,3,1,B03,7,7,1,8,2,6,,40,40,1,6,4,120.64725,24.118978,2
38,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,12,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,84,84,1,12,4,120.723747,24.161995,3
39,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,28,臺中市,烏日區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B01,,,1,,2,,,76,76,1,12,4,120.616684,24.113986,3
40,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,30,臺中市,霧峰區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,8,1,12,4,120.686949,24.054142,3
41,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,30,臺中市,龍井區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,49,49,1,12,4,120.5459,24.183628,3
42,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,33,臺中市,西屯區,0,2,0,7,2,6,50,5,1,1,5,4,6,6,1,1,10,5,5,2,15,2,9,5,1,F03,7,9,7,21,2,11,,21,21,1,12,4,120.663965,24.164434,2
43,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,40,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,8,8,1,13,4,120.702428,24.204988,3
44,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,46,臺中市,南屯區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,B03,,,1,,9,,,84,84,1,12,4,120.654064,24.141629,3
45,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,48,臺中市,太平區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,3,1,10,5,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.728842,24.157145,2
46,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,50,臺中市,豐原區,0,0,0,6,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,50,50,1,12,4,120.719954,24.243067,3
47,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,51,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,6,4,120.642944,24.073043,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,55,臺中市,大里區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,A12,,,1,,9,,,84,84,1,6,4,120.713808,24.084402,3
49,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,56,臺中市,大里區,0,3,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,3,10,3,1,B03,7,9,3,19,2,1,,7,7,1,13,4,120.701158,24.096159,2
50,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,8,57,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,50,50,1,12,4,120.680635,24.107894,3
51,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,0,臺中市,大肚區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,119,119,1,,,120.57086,24.123931,3
52,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,3,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,A12,,,1,,2,,,8,8,1,13,4,120.667661,24.17164,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,4,臺中市,東區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,12,,12,12,1,12,4,120.696224,24.147132,2
54,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,9,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,5,4,C03,7,6,1,10,2,14,,84,84,1,12,4,120.677078,24.185883,2
55,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,10,臺中市,北屯區,0,1,0,7,3,6,50,5,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,1,,59,59,1,13,4,120.697445,24.170409,2
56,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,13,臺中市,潭子區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,5,4,4,2,17,3,10,3,1,B03,7,5,1,8,2,2,,11,11,1,13,4,120.691208,24.215976,2
57,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,17,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B12,,,1,,1,,,49,49,1,6,4,120.729645,24.173921,3
58,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,25,臺中市,太平區,0,1,0,7,3,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,18,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.792113,24.046471,2
59,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,28,臺中市,西屯區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B11,7,6,1,1,2,2,,11,11,1,12,4,120.645096,24.178816,2
60,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,29,臺中市,大甲區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,17,2,9,1,1,C03,7,6,1,10,2,11,,39,39,1,6,4,120.619618,24.347265,2
61,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,30,臺中市,大肚區,0,0,0,7,,,40,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,12,4,120.555405,24.143648,3
62,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,35,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,59,59,1,12,4,120.728582,24.257726,3
63,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,35,臺中市,豐原區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,1,12,3,10,5,4,B03,7,9,1,8,2,2,,8,8,1,12,4,120.725117,24.245911,2
64,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,37,臺中市,豐原區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,12,4,120.702146,24.246506,3
65,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,38,臺中市,南屯區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,12,2,9,1,1,C03,7,9,1,10,2,12,,59,59,1,12,4,120.646621,24.14244,2
66,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,40,臺中市,太平區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B12,,,1,,2,,,49,49,1,12,4,120.73097,24.149629,3
67,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,40,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,84,84,1,12,4,120.715687,24.147616,3
68,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,46,臺中市,北屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,15,2,9,1,1,C03,7,9,3,19,2,12,,85,85,1,6,4,120.719281,24.176865,2
69,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,46,臺中市,霧峰區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,9,,,8,8,1,12,4,120.671419,24.043362,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,54,臺中市,南屯區,0,1,0,7,3,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,5,4,C04,7,5,1,10,1,12,,41,41,1,6,4,120.630753,24.12601,2
71,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,57,臺中市,大雅區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,12,4,120.673561,24.231836,3
72,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,58,臺中市,豐原區,0,1,0,7,2,6,30,3,2,1,5,4,6,6,4,4,10,5,5,2,16,3,10,5,4,B02,7,5,1,8,2,4,,14,14,1,12,4,120.720859,24.227131,2
73,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,9,59,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,12,4,120.646993,24.148644,3
74,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,0,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,50,50,1,12,4,120.705979,24.251176,3
75,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,2,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,1,,,76,76,1,13,4,120.661779,24.147858,3
76,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,2,臺中市,烏日區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,4,4,5,4,5,2,17,2,8,5,4,C03,7,1,1,10,2,14,,51,51,1,6,4,120.626906,24.104752,2
77,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,3,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,A12,,,1,,2,,,84,84,1,12,4,120.741927,24.26331,3
78,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,4,臺中市,西屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,2,1,5,4,4,2,15,2,8,5,4,C03,7,9,1,10,2,12,,21,21,1,13,4,120.651867,24.176133,2
79,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,5,臺中市,太平區,0,1,0,7,3,6,50,3,2,1,5,4,6,6,4,4,5,4,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,87,87,1,5,4,120.722179,24.149425,2
80,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,6,臺中市,西區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,4,4,10,4,5,2,16,2,9,1,1,C03,7,7,1,10,2,12,,40,40,1,12,4,120.650019,24.144404,2
81,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,7,臺中市,大里區,0,2,0,7,2,6,50,13,9,1,5,4,5,6,4,4,1,4,5,1,17,2,9,1,1,C03,7,15,3,19,2,14,,84,84,1,13,4,120.680501,24.106728,2
82,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,7,臺中市,大里區,0,1,0,7,2,6,50,5,4,1,5,4,6,6,1,1,5,2,5,1,12,3,10,3,1,B02,7,15,1,8,2,5,,84,84,1,12,4,120.690106,24.112515,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,9,臺中市,東區,0,0,0,7,,,1,,,,,,,,,,,,,,17,,,,,B03,,,1,,3,,,50,50,1,12,4,120.692804,24.136905,3
84,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,10,臺中市,潭子區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,2,1,4,1,5,1,13,2,9,1,1,C03,7,9,1,10,2,11,,59,59,1,13,4,120.71987,24.193931,2
85,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,10,臺中市,太平區,0,2,0,7,2,6,50,13,7,1,5,4,6,6,1,1,9,4,4,1,13,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.714118,24.149182,2
86,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,15,臺中市,后里區,0,0,0,7,2,6,50,13,7,1,5,4,6,6,4,4,5,5,4,2,13,3,10,3,1,B02,7,9,1,4,2,1,,84,84,1,12,4,120.710824,24.305092,3
87,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,18,臺中市,太平區,0,1,0,7,3,6,50,5,1,1,5,4,6,6,4,4,5,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,12,,12,12,1,12,4,120.720373,24.153012,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,20,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,51,51,1,12,4,120.699364,24.13901,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,23,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,12,4,120.722388,24.277691,3
90,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,28,臺中市,西區,0,1,0,7,2,6,50,4,9,1,5,4,6,6,2,1,5,5,5,2,12,2,8,1,1,C03,7,9,1,10,2,14,,84,84,1,6,4,120.661725,24.144333,2
91,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,28,臺中市,霧峰區,0,3,0,7,2,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,12,,24,24,1,12,4,120.697964,24.066371,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,29,臺中市,沙鹿區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,B13,,,1,,1,,,49,49,1,6,4,120.567292,24.249615,3
93,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,31,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,40,40,1,12,4,120.702247,24.185071,3
94,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,35,臺中市,霧峰區,0,2,0,7,2,6,40,3,1,1,5,4,6,6,1,1,5,5,5,2,13,2,8,2,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.702638,24.070024,2
95,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,41,臺中市,豐原區,0,2,0,7,2,6,50,3,8,1,5,4,6,6,1,1,5,4,4,2,17,2,9,2,4,C03,7,7,1,10,11,12,,84,84,1,12,4,120.716686,24.251761,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,42,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,13,4,120.703919,24.181299,3
97,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,44,臺中市,烏日區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.618665,24.102725,3
98,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,47,臺中市,大肚區,0,1,0,7,2,6,60,3,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,9,3,19,2,6,,21,21,1,12,4,120.582776,24.168469,2
99,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,48,臺中市,東區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,9,5,4,2,14,3,10,3,1,B12,7,2,1,8,2,7,,49,49,1,12,4,120.695014,24.138349,2
100,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,48,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,14,14,1,12,4,120.671571,24.125674,3
101,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,50,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B13,,,1,,2,,,87,87,1,12,4,120.649239,24.130796,4
102,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,55,臺中市,東勢區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,76,76,1,12,4,120.795067,24.285944,3
103,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,57,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,8,8,1,6,4,120.715435,24.137182,3
104,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,10,57,臺中市,烏日區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,2,7,5,4,C03,7,9,1,10,2,12,,84,84,1,6,4,120.607713,24.118682,2
105,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,11,0,臺中市,東區,0,3,0,7,3,6,50,3,1,1,5,4,6,6,4,4,5,5,5,2,11,2,9,2,1,C03,7,6,1,10,2,12,,14,14,1,11,4,120.703112,24.135192,2
106,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,11,1,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,59,1,6,4,120.653007,24.138905,3
107,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,11,4,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,119,119,1,,,120.644257,24.181727,3
108,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,11,7,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,8,8,1,12,4,120.623442,24.344114,3
109,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,11,14,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,58,58,1,6,4,120.687864,24.183851,3
