﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,0,4,臺中市,北區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,13,2,9,1,1,C03,7,9,5,10,1,11,,59,59,1,12,4,120.671036,24.163099,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,1,8,臺中市,南屯區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,8,3,5,2,11,2,9,5,4,C03,7,15,5,19,8,14,12,39,39,1,13,4,120.651636,24.136191,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,1,12,臺中市,大里區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,3,1,5,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,14,,24,24,1,13,4,120.695888,24.102361,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,1,42,臺中市,西區,0,1,0,7,1,6,40,4,2,1,5,4,6,6,3,1,5,5,4,2,13,3,10,2,1,C03,7,9,1,10,1,11,,7,7,1,6,4,120.66564,24.132193,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,1,42,臺中市,梧棲區,0,1,0,7,1,6,40,5,2,1,5,4,6,6,1,1,10,5,5,2,23,2,9,1,1,C03,7,9,1,10,1,11,,59,59,1,12,4,120.551748,24.244333,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,2,55,臺中市,西屯區,0,0,0,7,,,40,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,50,50,1,12,4,120.638033,24.164369,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,3,9,臺中市,北屯區,0,1,0,7,1,6,60,4,1,1,5,4,6,6,1,1,10,5,5,2,23,2,9,3,1,B03,7,9,1,8,2,1,,84,84,1,12,4,120.723091,24.162035,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,3,18,臺中市,龍井區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,4,4,2,13,3,10,1,1,C03,7,9,1,10,2,11,,59,59,1,5,4,120.549186,24.206689,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,4,1,臺中市,北區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,3,10,3,1,B02,7,9,1,8,2,5,,15,15,1,12,4,120.680996,24.153491,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,05,1,5,0,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,5,,2,,,84,84,1,12,4,120.707207,24.164963,3
