﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
11,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,5,5,臺中市,北屯區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,1,4,5,1,13,2,8,3,1,B03,7,9,1,8,2,5,,55,55,1,12,4,120.661441,24.189866,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,5,26,臺中市,北屯區,0,1,0,6,1,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,12,3,10,3,1,A05,7,9,1,2,2,5,,84,84,1,6,4,120.721364,24.177729,2
13,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,37,臺中市,太平區,0,1,0,7,2,6,50,13,9,1,4,4,6,6,4,4,5,2,5,1,13,2,9,1,1,C03,7,9,1,10,2,11,12,84,84,1,12,4,120.733962,24.134256,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,38,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,59,59,1,12,4,120.612497,24.138229,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,46,臺中市,北區,0,2,0,6,2,6,50,4,1,1,4,4,6,6,1,1,1,4,4,2,12,2,9,1,1,C03,7,5,1,10,2,12,,84,84,1,12,4,120.67634,24.15725,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,50,臺中市,南區,0,0,0,7,,,30,,,,,,,,,,,,,,9,,,,,,,,,,,,,119,119,1,,,120.681487,24.130825,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,50,臺中市,太平區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,7,7,1,5,4,120.725108,24.11215,3
18,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,52,臺中市,石岡區,0,0,0,5,,,70,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,7,1,12,4,120.783094,24.274491,3
19,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,6,56,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,5,5,1,18,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.693384,24.171393,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,0,臺中市,南屯區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,119,119,1,,,120.614396,24.151326,3
21,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,0,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,7,1,12,4,120.577122,24.275601,3
22,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,1,臺中市,大里區,0,1,0,6,2,6,60,11,7,1,4,4,6,6,4,4,1,4,4,1,18,2,9,1,1,C03,7,9,1,10,2,14,,87,87,1,12,4,120.689889,24.100912,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,5,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B12,,,1,,2,,,51,51,1,13,4,120.562576,24.270185,3
24,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,7,臺中市,東區,0,1,0,7,3,6,40,13,8,1,5,4,6,6,4,4,1,4,4,2,12,3,10,1,1,C03,7,9,1,10,2,12,,84,84,1,13,4,120.69017,24.125697,2
25,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,12,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,14,14,1,12,4,120.613725,24.142655,3
26,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,14,臺中市,梧棲區,0,1,0,6,2,6,30,13,9,1,4,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,1,1,8,2,1,,51,51,1,12,4,120.555323,24.250265,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,16,臺中市,西屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,1,4,5,2,16,2,9,3,1,B03,7,6,1,10,2,1,,11,11,1,6,4,120.655075,24.195852,2
28,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,17,臺中市,清水區,0,1,0,6,3,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,14,3,10,3,1,B03,7,2,1,8,2,3,,49,49,1,12,4,120.57535,24.279699,2
29,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,19,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,12,4,120.612343,24.187058,3
30,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,20,臺中市,神岡區,0,1,0,6,1,6,50,5,1,1,4,4,6,6,1,1,5,4,5,1,17,2,9,1,4,C03,7,12,1,10,2,14,,21,21,1,12,4,120.656703,24.264443,2
31,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,21,臺中市,霧峰區,0,1,0,6,3,6,50,4,2,2,4,4,6,6,1,1,1,3,5,1,12,3,10,3,1,B03,7,6,1,8,2,5,,11,11,1,12,4,120.699052,24.077985,2
32,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,24,臺中市,南屯區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,2,1,5,4,5,2,18,2,9,1,1,C03,7,12,1,10,2,12,,59,59,1,6,4,120.637183,24.147014,2
33,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,25,臺中市,大雅區,0,1,0,6,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,1,17,3,10,3,1,B03,7,9,1,8,2,8,,12,12,1,13,4,120.635872,24.215506,2
34,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,25,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,84,84,1,12,4,120.547198,24.267061,3
35,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,26,臺中市,南屯區,0,0,0,6,,,40,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,13,4,120.64537,24.138725,3
36,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,27,臺中市,東區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,12,3,10,1,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.70005,24.132491,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,28,臺中市,南屯區,0,0,0,6,,,80,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.623033,24.140267,4
38,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,28,臺中市,西屯區,0,1,0,6,2,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,12,3,10,3,1,B03,7,9,1,8,2,2,,8,8,1,12,4,120.638827,24.180171,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,30,臺中市,梧棲區,0,1,0,7,3,6,70,3,12,1,5,4,6,6,1,1,1,4,4,1,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.547054,24.233378,2
40,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,30,臺中市,豐原區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,15,2,8,1,1,C03,7,9,1,10,2,14,,21,21,1,6,4,120.73228,24.274894,2
41,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,31,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,2,1,5,4,5,2,17,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.635455,24.150885,2
42,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,31,臺中市,大里區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B03,7,6,1,2,2,4,,48,48,1,13,4,120.694905,24.112722,2
43,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,34,臺中市,北屯區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,10,2,8,1,1,C03,7,9,1,10,1,11,,84,84,1,6,2,120.707748,24.170895,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,34,臺中市,沙鹿區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.554284,24.213787,3
45,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,36,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,7,1,12,4,120.672032,24.170218,3
46,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,36,臺中市,南區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B03,7,11,1,8,2,3,,45,45,1,6,4,120.659338,24.113189,2
47,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,36,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,13,4,120.69707,24.17042,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,36,臺中市,豐原區,0,0,0,7,2,6,50,13,9,1,6,4,+,+,4,4,1,2,5,2,12,3,10,1,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.71974,24.264007,3
49,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,37,臺中市,烏日區,0,1,0,7,2,6,30,11,9,1,5,4,6,6,4,4,10,5,5,2,11,3,10,2,1,C03,7,9,1,10,2,11,,41,41,1,6,4,120.605774,24.118621,2
50,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,38,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,45,45,1,13,4,120.685093,24.157602,3
51,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,39,臺中市,東區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,2,1,3,5,5,2,18,2,9,5,4,C03,7,9,1,10,9,15,,84,84,1,6,4,120.6999,24.138867,2
52,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,39,臺中市,西屯區,0,0,0,6,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,12,4,120.647008,24.164398,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,40,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,13,4,120.638358,24.147176,3
54,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,40,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,13,4,120.590375,24.174924,3
55,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,40,臺中市,太平區,0,0,0,7,2,6,50,,,,,,,,,,,,,,16,,,,,F01,,,7,,2,13,,11,11,1,12,4,120.715945,24.134404,3
56,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,41,臺中市,南屯區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,6,1,10,2,11,,84,84,1,12,4,120.59783,24.151656,2
57,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,41,臺中市,西屯區,0,1,0,6,2,6,40,3,1,1,5,4,6,6,1,1,10,5,5,2,13,2,9,1,1,C03,7,5,1,10,2,11,12,7,7,1,12,4,120.590105,24.174802,2
58,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,42,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,8,8,1,12,4,120.635676,24.151454,3
59,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,44,臺中市,后里區,0,0,0,7,2,6,40,13,7,1,5,4,6,6,4,4,1,4,4,1,13,3,10,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.721972,24.30542,3
60,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,45,臺中市,北屯區,0,3,0,7,1,6,50,4,2,1,5,4,6,6,4,4,5,4,5,2,16,3,10,3,1,B03,7,9,1,8,2,1,,15,15,1,13,4,120.730995,24.169712,2
61,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,45,臺中市,西屯區,0,1,0,7,1,6,50,8,9,1,5,4,6,6,4,4,1,4,5,2,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.65072,24.19947,2
62,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,48,臺中市,大甲區,0,2,0,6,3,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,9,5,4,C03,7,6,1,10,2,12,,14,14,1,6,4,120.620122,24.341683,2
63,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,50,臺中市,南屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,16,,11,11,1,6,4,120.654569,24.135273,2
64,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,50,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,1,,,51,51,1,6,4,120.682912,24.187406,3
65,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,50,臺中市,龍井區,0,2,0,6,1,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,9,1,1,C03,7,6,1,10,2,11,,14,14,1,6,4,120.590947,24.182256,2
66,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,51,臺中市,龍井區,0,0,0,7,,,40,,,,,,,,,,,,,,12,,,,,C03,,,1,,2,,,7,7,1,6,4,120.536746,24.193849,3
67,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,52,臺中市,北屯區,0,1,0,6,3,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,12,3,10,3,1,B03,7,7,1,8,1,2,,40,40,1,6,4,120.700981,24.165061,2
68,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,52,臺中市,太平區,0,2,0,6,3,6,30,4,1,1,5,4,6,6,4,4,5,5,5,1,15,2,9,2,1,C03,7,9,1,10,2,13,,12,12,1,12,4,120.743015,24.157523,2
69,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,54,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,11,,,,,F03,,,7,,2,,,41,41,1,6,4,120.620807,24.336948,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,55,臺中市,西屯區,0,0,0,6,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,12,4,120.614556,24.179514,3
71,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,7,56,臺中市,大里區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,5,5,2,18,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,6,4,120.703628,24.101394,2
72,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,0,臺中市,烏日區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B02,,,1,,2,,,47,47,1,6,4,120.631758,24.1052,3
73,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,9,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,13,4,120.666755,24.175127,3
74,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,10,臺中市,大雅區,0,0,0,6,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,8,8,1,13,4,120.645418,24.221702,3
75,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,10,臺中市,大雅區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,12,4,120.649794,24.212581,3
76,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,10,臺中市,南屯區,0,1,0,6,2,6,40,4,1,1,4,4,6,6,4,4,9,5,5,2,17,2,9,2,1,C03,7,9,1,10,2,11,,15,15,1,13,4,120.62489,24.137999,2
77,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,10,臺中市,烏日區,0,1,0,7,3,6,40,4,1,1,5,4,6,6,2,1,1,4,3,1,18,2,9,1,1,C03,7,12,1,10,2,14,11,84,84,1,6,4,120.651904,24.105012,2
78,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,11,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,A02,,,1,,2,,,8,8,1,6,4,120.682212,24.135899,3
79,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,12,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,8,8,1,12,4,120.619148,24.185867,3
80,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,14,臺中市,西區,0,1,0,7,2,6,50,11,9,1,5,4,6,6,4,4,5,4,5,2,12,2,9,2,1,C03,7,9,1,10,2,14,,85,85,1,13,4,120.653656,24.154474,2
81,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,16,臺中市,烏日區,0,1,0,7,2,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B03,7,6,1,8,2,1,,14,14,1,6,4,120.606118,24.108,2
82,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,19,臺中市,北區,0,1,0,7,2,6,50,13,7,1,5,4,1,6,4,4,5,5,4,2,18,2,9,5,4,C03,7,12,1,10,2,14,,84,84,1,13,4,120.672371,24.158986,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,20,臺中市,太平區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,1,1,5,4,5,2,12,3,10,5,4,B12,7,9,1,8,2,8,,8,8,1,12,4,120.734141,24.148558,2
84,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,22,臺中市,西屯區,0,0,0,7,,,60,,,,,,,,,,,,,,12,,,,,B01,,,1,,1,,,40,40,1,12,4,120.639998,24.168545,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,23,臺中市,東區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,5,5,2,13,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.688661,24.142231,2
86,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,25,臺中市,東區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,B12,,,1,,1,,,59,59,1,12,4,120.699539,24.145323,3
87,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,27,臺中市,沙鹿區,0,2,0,6,2,6,50,3,2,1,5,4,6,6,1,1,1,2,4,2,13,2,8,2,1,C03,7,9,1,9,2,11,,7,7,1,6,4,120.570535,24.217277,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,27,臺中市,后里區,0,0,0,5,,,50,,,,,,,,,,,,,,18,,,,,C03,,,1,,2,,,59,59,1,12,4,120.709499,24.30663,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,29,臺中市,東區,0,1,0,6,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,6,1,10,2,2,,48,48,1,6,4,120.684214,24.132052,2
90,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,31,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,2,,,8,8,1,13,4,120.719296,24.18284,3
91,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,31,臺中市,大里區,0,1,0,7,2,6,60,13,7,1,5,4,6,6,4,4,1,4,4,1,17,2,9,1,1,C03,7,8,3,19,2,11,,84,84,1,12,4,120.670033,24.102826,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,31,臺中市,后里區,0,0,0,7,2,6,60,13,7,1,4,4,6,6,1,1,1,4,4,1,12,3,10,3,1,B03,7,14,1,8,1,5,,8,8,1,6,4,120.723177,24.288424,3
93,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,36,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,13,2,1,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.685524,24.176018,2
94,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,40,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,13,4,120.710736,24.204576,3
95,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,43,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,4,5,2,17,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.621459,24.146982,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,45,臺中市,北屯區,0,1,0,6,2,6,50,3,4,1,5,4,6,6,2,1,10,5,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.699127,24.176068,2
97,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,45,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,1,,,84,84,1,6,4,120.681753,24.192981,3
98,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,52,臺中市,北區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,8,3,4,1,12,2,9,1,1,C03,7,1,1,10,2,14,,51,51,1,13,4,120.694236,24.1595,2
99,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,8,53,臺中市,大肚區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,49,49,1,6,4,120.576117,24.118956,3
100,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,0,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,2,,,84,84,1,6,4,120.66351,24.185646,3
101,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,1,臺中市,東區,0,0,0,7,,,30,,,,,,,,,,,,,,15,,,,,C03,,,1,,1,,,87,87,1,13,4,120.691065,24.148641,4
102,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,6,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.628911,24.14032,3
103,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,6,臺中市,北屯區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,B03,,,1,8,1,,,7,7,1,6,4,120.72193,24.182928,3
104,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,6,臺中市,烏日區,0,1,0,7,2,6,50,14,9,1,5,4,6,6,4,4,10,5,5,2,15,3,10,3,1,B03,7,1,1,8,2,1,,51,51,1,6,4,120.600732,24.11278,2
105,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,7,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,8,8,1,6,4,120.74518,24.265126,3
106,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,8,臺中市,后里區,0,1,0,6,2,6,60,3,2,1,5,4,6,6,4,4,1,4,4,1,16,3,10,3,1,B03,7,5,1,8,2,6,,14,14,1,12,4,120.723201,24.289746,2
107,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,29,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,5,5,5,2,15,3,10,3,1,B03,7,9,1,8,2,2,,15,15,1,12,4,120.666755,24.160421,2
108,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,9,29,臺中市,北區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,1,1,5,4,5,2,17,2,9,5,1,F03,7,9,7,21,2,11,,7,7,1,13,4,120.670513,24.166886,2
