﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,0,6,臺中市,龍井區,0,2,0,5,1,6,50,3,1,1,4,4,6,6,4,4,10,5,5,2,16,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.592952,24.182892,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,0,8,臺中市,太平區,0,2,0,5,1,6,50,13,9,1,4,4,6,6,4,4,9,4,5,2,12,2,9,1,1,C03,7,9,1,10,2,11,12,59,59,1,12,4,120.72489,24.107644,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,0,16,臺中市,大雅區,0,1,0,7,1,6,30,13,9,1,4,4,6,6,4,4,10,5,5,1,27,2,9,3,1,B03,7,9,1,8,2,2,,55,55,1,13,4,120.652378,24.209712,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,0,17,臺中市,北屯區,0,1,0,5,1,6,50,5,1,1,4,4,6,6,2,1,10,5,5,2,18,2,9,1,1,C03,7,5,1,10,2,12,,84,84,1,13,4,120.697819,24.170334,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,0,19,臺中市,南屯區,0,2,0,5,1,6,50,13,8,1,4,4,6,6,4,4,5,4,4,2,13,2,9,2,1,C03,7,9,1,10,2,11,,5,5,1,12,4,120.630425,24.123494,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,1,11,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,12,12,1,12,4,120.670489,24.151591,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,1,22,臺中市,中區,0,2,0,5,1,6,50,13,9,1,4,4,6,6,4,4,5,4,5,2,17,2,9,1,1,C03,7,15,5,10,9,12,,84,84,1,12,4,120.678984,24.142109,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,1,41,臺中市,太平區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,51,51,1,6,4,120.714515,24.126443,3
9,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,2,0,臺中市,北屯區,0,1,0,5,1,6,50,4,1,1,4,4,6,6,2,1,10,5,5,2,18,2,9,1,1,C03,7,5,1,10,2,12,,84,84,1,13,4,120.69624,24.183287,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,04,1,4,0,臺中市,沙鹿區,0,0,0,7,,,60,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,59,59,1,12,4,120.568527,24.202953,3
