﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,0,3,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,11,,,75,75,1,12,4,120.670658,24.164208,3
2,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,0,6,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B13,,,5,,1,,,84,84,1,13,4,120.667165,24.140834,3
3,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,1,4,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,13,4,120.709159,24.149445,3
4,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,2,19,臺中市,潭子區,0,1,0,7,1,6,30,11,9,1,5,4,6,6,4,4,10,5,5,2,12,2,9,2,1,C03,7,9,1,10,2,12,,59,59,1,13,4,120.675294,24.20513,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,4,4,臺中市,西屯區,0,4,0,7,1,6,40,13,8,1,5,4,6,6,4,4,1,4,4,2,13,2,9,2,1,C03,7,9,3,19,2,11,,7,7,1,12,4,120.614091,24.183494,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,4,30,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,13,4,120.687491,24.188243,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,5,30,臺中市,潭子區,0,1,0,7,1,6,50,5,2,1,5,4,6,6,2,1,5,5,5,1,12,3,10,3,1,B03,7,6,1,8,2,6,,39,39,1,12,4,120.705539,24.218379,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,6,11,臺中市,東區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,87,1,,4,120.704463,24.134733,3
9,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,6,41,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,119,119,1,,,120.717984,24.195723,3
10,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,6,46,臺中市,石岡區,0,0,0,7,,,70,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,40,40,1,6,4,120.778853,24.273737,3
11,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,6,56,臺中市,東區,0,0,0,7,,,40,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,84,84,1,12,4,120.693433,24.151567,3
12,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,6,59,臺中市,太平區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,12,2,9,2,1,C03,7,10,1,10,2,14,,42,42,1,12,4,120.713952,24.125095,2
13,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,0,臺中市,大甲區,0,1,0,7,3,6,50,9,9,1,5,4,6,6,4,4,10,5,5,2,18,2,9,1,1,F03,7,9,7,21,2,11,,7,7,1,6,4,120.662193,24.386668,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,19,臺中市,豐原區,0,1,0,7,2,6,60,5,1,1,5,4,6,6,2,1,1,2,5,1,16,3,10,1,1,C03,7,6,3,19,1,11,14,48,48,1,6,4,120.710463,24.236999,2
15,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,25,臺中市,神岡區,0,1,0,6,2,6,30,5,1,1,5,4,6,6,4,4,10,5,5,2,17,3,10,5,4,B03,7,9,1,8,2,5,,12,12,1,12,4,120.684745,24.249183,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,40,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,40,40,1,6,4,120.696122,24.167847,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,44,臺中市,龍井區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,40,40,1,6,4,120.542246,24.218043,3
18,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,50,臺中市,外埔區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,7,7,1,12,4,120.641711,24.341242,3
19,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,7,53,臺中市,大里區,0,1,0,7,2,6,50,18,9,1,5,4,6,6,4,4,10,5,5,1,17,2,9,5,4,C03,7,15,1,10,2,14,,84,84,1,13,4,120.696277,24.096859,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,5,臺中市,大里區,0,1,0,7,3,6,40,3,2,1,5,4,6,6,1,1,3,4,4,1,16,2,8,1,1,C03,7,8,1,10,2,14,,40,40,1,5,4,120.69622,24.087088,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,7,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,84,84,1,12,4,120.707697,24.199418,3
