﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
22,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,10,臺中市,北屯區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,1,1,C02,7,6,1,9,2,14,,48,48,1,6,4,120.659863,24.192921,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,11,臺中市,烏日區,0,1,0,7,2,6,50,4,7,1,5,4,6,6,4,4,5,4,4,2,16,3,10,1,1,C03,7,9,1,10,1,11,,84,84,1,6,4,120.637926,24.10835,2
24,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,13,臺中市,東勢區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,50,50,1,12,4,120.830039,24.251383,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,14,臺中市,西屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B03,7,6,5,19,2,6,,14,14,1,12,4,120.618081,24.162535,2
26,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,22,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,84,84,1,12,4,120.695016,24.086277,3
27,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,32,臺中市,東區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,2,1,5,5,5,2,17,2,9,5,4,C03,7,8,1,10,2,13,,39,39,1,6,4,120.690653,24.13471,2
28,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,40,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,50,50,1,12,4,120.68783,24.105653,3
29,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,48,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,3,,,7,7,1,13,4,120.637142,24.170013,3
30,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,48,臺中市,大里區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,11,,15,15,1,6,4,120.699484,24.083952,2
31,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,52,臺中市,南屯區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,1,1,5,4,4,2,17,2,9,1,1,C03,7,5,1,10,2,14,,22,22,1,12,4,120.646381,24.148889,2
32,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,8,59,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,13,4,120.636178,24.181869,3
33,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,0,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,119,119,1,,,120.718825,24.15664,3
34,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,2,臺中市,大雅區,0,1,0,7,1,6,50,4,1,1,5,4,1,6,4,4,10,5,5,2,2,3,10,3,1,B13,7,6,1,4,2,8,,84,84,1,12,4,120.652819,24.224061,2
35,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,2,臺中市,西區,0,1,0,7,1,6,40,13,8,1,5,4,6,6,1,1,1,4,3,1,17,3,10,5,4,B03,7,9,1,8,2,4,,84,84,1,12,4,120.663775,24.154648,2
36,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,5,臺中市,潭子區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,1,1,1,2,5,2,13,3,10,3,1,A12,7,1,1,3,2,5,,85,85,1,12,4,120.716241,24.198841,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,6,臺中市,東區,0,1,0,7,3,6,50,5,2,1,5,4,6,6,1,1,1,2,4,2,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.684333,24.126006,2
38,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,9,臺中市,北區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,2,9,5,4,C03,7,1,3,19,2,14,,51,51,1,13,4,120.69818,24.155213,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,11,臺中市,大甲區,0,2,0,7,3,6,50,5,1,1,5,4,6,6,2,1,10,5,5,2,13,2,9,5,4,C03,7,9,3,19,2,12,,7,7,1,6,4,120.61863,24.339233,2
40,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,18,臺中市,烏日區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,2,1,10,5,5,2,12,3,10,3,1,B03,7,5,1,8,2,5,2,11,11,1,6,4,120.649129,24.093503,2
41,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,24,臺中市,霧峰區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,4,4,5,5,5,1,9,2,9,5,4,C03,7,9,1,10,2,11,,84,84,1,13,4,120.693258,24.06611,2
42,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,30,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,78,78,1,12,4,120.69311,24.134607,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,30,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,1,12,3,10,3,1,B12,7,1,1,7,2,4,,85,85,1,6,4,120.715366,24.164634,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,30,臺中市,神岡區,0,0,0,7,,,1,,,,,,,,,,,,,,17,,,,,,,,,,,,,119,119,1,,,120.693229,24.247823,3
45,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,37,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,78,78,1,6,4,120.719749,24.148306,3
46,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,39,臺中市,太平區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,1,1,5,5,5,1,13,2,9,2,1,C03,7,9,1,10,2,11,,59,59,1,12,4,120.718311,24.125993,2
47,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,40,臺中市,北屯區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.705738,24.1648,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,40,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,59,59,1,6,4,120.727346,24.166852,4
49,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,42,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B01,,,1,,2,,,7,7,1,6,4,120.69096,24.140038,3
50,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,43,臺中市,南區,0,0,0,7,,,30,,,,,,,,,,,,,,14,,,,,B12,,,1,,9,,,49,49,1,6,4,120.671474,24.125308,3
51,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,46,臺中市,大里區,0,1,0,7,3,6,50,3,2,1,5,4,6,6,1,1,1,4,5,1,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.686458,24.121269,2
52,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,47,臺中市,北屯區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,8,1,,,84,84,1,6,4,120.717837,24.163194,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,50,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,12,4,120.632212,24.136133,3
54,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,51,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,84,84,1,13,4,120.662833,24.151944,3
55,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,55,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,7,7,1,12,4,120.636532,24.146378,3
56,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,55,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,6,4,120.68557,24.173335,3
57,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,55,臺中市,大肚區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,18,2,9,1,1,C03,7,12,1,10,2,14,,84,84,1,6,4,120.545014,24.152217,2
58,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,55,臺中市,清水區,0,1,0,7,3,6,40,3,1,1,5,4,6,6,4,4,1,4,4,2,17,3,10,2,1,C03,7,9,1,10,9,11,,4,4,1,12,4,120.577303,24.273812,2
59,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,56,臺中市,西區,0,1,0,6,2,6,50,13,8,1,5,4,6,6,4,4,1,4,1,1,11,3,10,3,1,B12,7,5,1,8,2,2,,84,84,1,12,4,120.659003,24.157708,2
60,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,9,56,臺中市,西屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,4,5,1,17,2,9,2,1,C03,7,12,1,10,2,14,,7,7,1,12,4,120.665649,24.16789,2
61,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,0,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,1,,,120.615243,24.18225,3
62,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,1,臺中市,沙鹿區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,5,1,8,2,2,,20,20,1,12,4,120.575215,24.226738,2
63,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,2,臺中市,北區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,17,3,10,5,4,B12,7,5,1,8,2,2,,47,47,1,13,4,120.684368,24.153997,2
64,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,2,臺中市,霧峰區,0,2,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,1,1,F03,7,9,7,21,2,11,,13,13,1,12,4,120.699237,24.072903,2
65,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,10,臺中市,清水區,0,0,0,7,,,60,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,12,4,120.55521,24.294556,3
66,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,11,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,6,,1,,,85,85,1,13,4,120.697369,24.156692,4
67,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,13,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,1,12,3,10,3,1,B03,7,5,1,8,2,5,,47,47,1,6,4,120.685303,24.170844,2
68,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,15,臺中市,太平區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,17,3,10,5,4,B03,7,6,1,8,2,6,,20,20,1,6,4,120.720683,24.149122,2
69,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,18,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,10,,,,,C03,,,1,,2,,,4,4,1,12,4,120.668506,24.175622,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,21,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,59,59,1,13,4,120.706669,24.243908,3
71,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,24,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B12,,,1,,1,,,49,49,1,13,4,120.617632,24.175592,3
72,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,27,臺中市,西屯區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,12,,15,15,1,12,4,120.61704,24.189083,2
73,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,28,臺中市,西區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,4,4,5,4,5,2,13,2,9,1,1,C03,7,8,1,10,2,11,,84,84,1,6,4,120.680908,24.136733,2
74,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,30,臺中市,北區,0,2,0,7,2,6,50,5,2,1,5,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,6,1,10,2,13,,39,39,1,13,4,120.676504,24.152384,2
75,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,30,臺中市,大肚區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,12,2,9,2,1,C03,7,1,1,10,2,12,,51,51,1,6,4,120.579662,24.172889,2
76,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,36,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,84,84,1,13,4,120.709741,24.200913,3
77,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,36,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,11,3,10,3,1,B03,7,6,1,8,2,2,,11,11,1,6,4,120.703886,24.159574,2
78,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,41,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,C03,,,1,,1,,,11,11,1,12,4,120.686706,24.136653,3
79,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,44,臺中市,潭子區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,16,2,8,2,1,C03,7,6,1,10,2,12,,84,84,1,12,4,120.710275,24.208809,2
80,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,44,臺中市,北區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,7,1,13,4,120.694184,24.15619,3
81,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,44,臺中市,北屯區,0,2,0,7,3,6,30,11,9,1,5,4,6,6,4,4,10,5,5,2,11,3,10,4,1,F01,7,5,7,21,1,12,,41,41,1,2,4,120.694063,24.180307,2
82,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,10,50,臺中市,大甲區,0,2,0,7,3,6,50,8,11,1,5,4,6,6,4,4,1,4,4,1,12,2,9,5,4,C03,7,9,1,10,2,15,,8,8,1,6,4,120.606059,24.319676,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,1,臺中市,大雅區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,59,59,1,13,4,120.648182,24.22532,3
84,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,3,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,8,1,,,85,85,1,13,4,120.671257,24.134417,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,5,臺中市,北屯區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,12,3,10,3,1,B03,7,15,1,8,1,2,,8,8,1,6,4,120.717348,24.175549,2
86,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,12,臺中市,太平區,0,2,0,7,2,6,50,4,4,1,5,4,6,6,2,1,5,5,4,1,12,3,10,2,1,C03,7,11,1,10,2,11,,45,45,1,12,4,120.720862,24.130584,2
87,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,15,臺中市,清水區,0,1,0,7,3,6,50,5,1,1,5,4,6,6,1,1,1,4,4,2,17,2,9,2,1,C03,7,9,1,10,2,14,,26,26,1,12,4,120.56762,24.270258,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,25,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,12,4,120.713574,24.25432,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,28,臺中市,大肚區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,4,4,5,5,5,2,16,3,10,3,1,B12,7,5,1,8,2,2,,20,20,1,6,4,120.579598,24.168684,2
90,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,31,臺中市,北屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,1,18,2,8,1,1,C03,7,6,1,10,2,14,,84,84,1,6,4,120.688432,24.18245,2
91,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,34,臺中市,大雅區,0,1,0,7,1,6,0,18,21,4,5,4,6,6,4,4,10,5,5,2,14,3,10,3,1,B03,7,2,1,8,2,3,,49,49,1,12,4,120.63308,24.237971,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,49,臺中市,霧峰區,0,1,0,7,2,6,50,3,9,1,5,4,6,6,4,4,10,5,5,2,18,2,8,5,4,C03,7,9,1,10,2,12,,84,84,1,13,4,120.692728,24.066137,2
93,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,50,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,51,51,1,13,4,120.656309,24.168222,3
94,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,50,臺中市,太平區,0,1,0,6,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,17,3,10,3,1,B12,7,13,1,8,2,4,,76,76,1,12,4,120.723231,24.131647,2
95,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,55,臺中市,沙鹿區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,5,1,8,2,8,,39,39,1,8,4,120.579675,24.216726,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,58,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,59,59,1,13,4,120.661886,24.146801,3
97,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,58,臺中市,神岡區,0,1,0,7,2,6,40,13,9,1,5,4,6,6,4,4,1,5,5,1,12,3,10,5,4,B03,7,9,1,8,2,5,,8,8,1,12,4,120.671988,24.271121,2
98,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,11,58,臺中市,豐原區,0,0,0,7,2,6,50,3,2,1,5,4,6,6,2,1,5,2,5,1,13,3,10,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.708725,24.245456,3
99,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,1,臺中市,北區,0,0,0,7,3,6,50,13,24,1,5,4,6,6,4,4,5,5,5,2,17,,,,,B03,,,1,,2,,,8,8,1,13,4,120.680716,24.16757,3
100,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,1,臺中市,南屯區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,16,2,9,2,1,C03,7,4,1,10,2,14,,1,1,1,12,4,120.622214,24.14016,2
101,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,4,臺中市,東區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,2,1,10,5,5,2,17,2,9,1,1,C03,7,6,1,10,2,14,,48,48,1,12,4,120.69462,24.140478,2
102,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,5,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,11,11,1,12,4,120.643821,24.15108,3
103,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,6,臺中市,大雅區,0,2,0,7,2,6,50,4,2,1,5,4,6,6,4,4,5,5,5,1,17,2,9,2,1,C03,7,9,3,19,2,14,,6,6,1,13,4,120.648538,24.225957,2
104,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,7,臺中市,大安區,0,0,0,7,,,40,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,8,8,1,12,4,120.58312,24.353608,3
105,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,8,臺中市,東勢區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,12,4,120.779553,24.275332,3
106,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,9,臺中市,西屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,3,4,5,2,16,3,10,3,1,B03,7,5,1,8,2,2,,47,47,1,12,4,120.644383,24.162888,2
107,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,9,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,12,4,120.665051,24.106462,3
108,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,10,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,40,40,1,12,4,120.657495,24.129122,3
109,66000,387130000C,(04)23274275,(04)23288582,2025,11,1,12,11,臺中市,西區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,1,17,2,9,5,4,C03,7,9,1,10,9,11,,7,7,1,12,4,120.657387,24.134369,2
