﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,0,35,臺中市,豐原區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,3,10,5,4,B03,7,9,1,8,2,4,,24,24,1,12,4,120.704922,24.244422,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,1,21,臺中市,西屯區,0,1,0,7,1,6,30,4,2,1,5,4,6,6,4,4,10,5,5,2,17,2,8,1,1,C03,7,3,5,19,2,14,,50,50,1,12,4,120.607245,24.185422,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,1,25,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,13,4,120.699504,24.082578,3
4,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,1,32,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,A11,,,1,,2,,,51,51,1,12,4,120.61421,24.177446,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,2,3,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,F06,,,7,21,1,,,68,68,1,13,4,120.661207,24.157634,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,3,30,臺中市,豐原區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,12,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,12,4,120.723234,24.254743,2
7,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,4,10,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,A12,,,1,,2,,,8,8,1,12,4,120.646829,24.175649,4
8,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,5,22,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,A41,,,1,,2,,,51,51,1,13,4,120.646899,24.131898,3
9,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,5,23,臺中市,西屯區,0,2,0,7,1,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,17,2,7,1,1,C03,7,5,1,10,2,12,,42,42,1,12,4,120.657133,24.159656,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,07,1,5,32,臺中市,東勢區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,5,5,1,27,2,1,5,4,B03,7,9,1,8,2,1,,59,59,1,12,4,120.855245,24.235847,2
