﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,0,臺中市,沙鹿區,0,2,0,5,1,6,60,13,19,1,4,4,6,6,1,1,3,4,3,2,9,2,9,6,5,H01,8,17,7,21,10,17,,109,109,1,6,5,120.577191,24.225802,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,1,臺中市,西區,0,3,0,5,1,6,50,3,1,1,4,4,6,6,1,1,1,4,4,2,16,2,9,3,1,B03,7,6,1,8,2,5,,25,25,1,12,4,120.661743,24.16016,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,11,臺中市,東勢區,0,1,0,5,1,6,50,13,9,1,4,4,6,6,4,4,5,5,5,1,17,3,10,5,4,B03,7,6,1,8,2,8,,26,26,1,12,4,120.839738,24.202647,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,23,臺中市,大雅區,0,3,0,5,1,6,50,13,9,1,4,4,6,6,4,4,9,4,4,1,13,3,10,5,4,B03,7,13,1,8,2,3,,77,77,1,13,4,120.647083,24.226165,2
5,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,25,臺中市,南屯區,0,1,0,5,1,6,40,3,1,1,4,4,6,6,4,4,10,5,5,2,17,3,10,5,4,B03,7,5,1,8,2,16,,14,14,1,6,4,120.648688,24.152956,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,30,臺中市,龍井區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,49,49,1,12,4,120.528644,24.213952,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,38,臺中市,大里區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,9,,,49,49,1,12,4,120.691724,24.10365,3
8,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,40,臺中市,西屯區,0,1,0,5,1,6,50,4,1,1,4,4,6,6,2,1,10,5,5,1,17,2,9,1,1,C03,7,1,1,10,2,11,,51,51,1,12,4,120.649796,24.162755,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,45,臺中市,西屯區,0,1,0,5,1,6,50,4,1,1,4,4,6,6,2,1,10,5,5,2,3,3,10,3,1,B03,7,5,1,8,2,1,,10,10,1,12,4,120.644268,24.171377,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,55,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,8,2,,,40,40,1,12,4,120.698344,24.173277,3
11,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,0,59,臺中市,大雅區,0,1,0,5,1,6,50,4,2,1,4,4,6,6,1,1,10,5,5,2,18,2,9,2,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.644865,24.225654,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,1,6,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,5,,2,,,21,21,1,13,4,120.673186,24.140944,3
13,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,1,7,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,15,,,,,B03,,,1,,1,,,24,24,1,12,4,120.69083,24.180345,3
14,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,1,43,臺中市,大里區,0,0,0,6,1,6,50,13,8,1,4,4,6,6,4,4,5,4,4,2,12,,,,,B03,,,1,,9,,,78,78,1,12,4,120.691709,24.115168,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,2,39,臺中市,北屯區,0,0,0,5,,,40,,,,,,,,,,,,,,14,,,,,B03,,,1,8,9,,,49,49,2,6,4,120.694763,24.175155,3
16,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,3,16,臺中市,大安區,0,3,0,6,1,6,50,4,1,1,4,4,6,6,3,1,5,5,5,1,15,2,9,3,1,B03,7,9,1,8,2,8,4,24,24,1,6,4,120.607784,24.372847,2
17,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,5,13,臺中市,大雅區,0,1,0,5,1,6,50,11,9,2,4,4,6,5,3,1,5,5,5,1,30,2,9,2,1,C03,7,9,1,10,2,11,,84,84,1,12,4,120.67291,24.231323,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,5,40,臺中市,北區,0,2,0,6,1,6,50,13,9,1,4,4,6,6,4,4,7,5,5,2,9,2,7,1,1,C03,7,9,5,19,2,15,,84,84,1,13,4,120.676489,24.162922,2
19,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,6,7,臺中市,南屯區,0,1,0,6,1,6,50,4,1,1,4,4,6,6,2,1,10,5,5,2,18,2,9,5,4,C03,7,6,1,10,2,14,,59,59,1,6,4,120.641658,24.125572,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,6,36,臺中市,大甲區,0,1,0,6,1,6,50,3,1,1,4,4,6,6,4,4,5,5,5,1,3,3,10,3,1,B03,7,6,1,8,2,1,,10,10,1,6,4,120.626065,24.350147,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,6,39,臺中市,神岡區,0,2,0,6,1,6,50,3,1,1,4,4,6,6,1,1,1,4,5,1,13,3,10,5,4,B03,7,9,1,8,2,5,,59,59,1,12,4,120.693067,24.248284,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,6,53,臺中市,沙鹿區,0,0,0,7,,,40,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,85,85,1,6,4,120.581127,24.219706,4
23,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,7,31,臺中市,石岡區,0,0,0,7,,,50,,,,,,,,,,,,,,1,,,,,C03,,,1,,9,,,5,5,1,12,4,120.785179,24.274422,3
24,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,7,34,臺中市,北屯區,0,1,0,6,2,6,50,3,1,1,4,4,6,6,2,1,10,5,5,2,28,,,,,,,,,,,,,118,118,1,,,120.702306,24.164948,2
