﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
25,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,7,52,臺中市,太平區,0,1,0,6,2,6,50,4,1,1,4,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B12,7,11,1,7,2,5,,45,45,1,6,4,120.723201,24.15655,2
26,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,8,56,臺中市,北屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,4,3,5,2,17,2,9,2,1,C03,7,6,1,10,9,11,14,23,23,1,13,4,120.717905,24.168042,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,8,59,臺中市,西區,0,0,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,11,3,10,3,1,B12,7,15,1,8,6,8,,84,84,1,6,4,120.673668,24.147719,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,0,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,59,1,6,4,120.635711,24.143383,3
29,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,0,臺中市,西屯區,0,2,0,7,2,6,40,4,1,1,5,4,6,6,1,1,5,4,4,2,16,2,8,2,1,C03,7,6,1,10,2,14,,48,48,1,12,4,120.649112,24.175185,2
30,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,8,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,30,,,,,B02,,,1,,2,,,59,59,1,12,4,120.641863,24.167535,3
31,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,15,臺中市,東區,0,3,0,7,1,6,50,4,1,1,5,4,6,6,1,1,9,4,5,2,11,2,9,1,1,C03,7,6,1,10,2,11,,48,48,1,12,4,120.694735,24.140494,2
32,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,39,臺中市,北區,0,1,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,1,1,C03,7,9,1,10,2,11,,15,15,1,12,4,120.691877,24.160498,2
33,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,40,臺中市,北屯區,0,3,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,9,5,4,C03,7,6,1,10,2,12,,14,14,1,12,4,120.71914,24.183728,2
34,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,45,臺中市,沙鹿區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,8,1,1,C03,7,9,1,10,2,11,12,12,12,1,6,4,120.560785,24.237033,2
35,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,47,臺中市,烏日區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,1,1,8,9,14,,51,51,1,6,4,120.639414,24.070832,2
36,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,9,57,臺中市,北區,0,1,0,7,3,6,40,13,8,1,5,4,6,6,4,4,5,5,4,2,16,3,10,3,1,B03,7,5,1,8,2,5,,20,20,1,12,4,120.664775,24.156988,2
37,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,4,臺中市,西屯區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,12,2,6,6,1,F01,7,8,7,21,2,13,,85,85,1,12,4,120.625027,24.184994,2
38,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,4,臺中市,神岡區,0,1,0,7,2,6,50,4,9,1,5,4,6,6,1,1,10,5,5,2,13,2,9,5,4,C03,7,9,1,10,2,11,,59,59,1,13,4,120.670854,24.261841,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,10,臺中市,大肚區,0,1,0,7,2,6,50,5,1,1,5,4,6,6,3,1,10,5,5,2,13,3,10,1,1,C03,7,9,1,10,1,11,,7,7,1,6,4,120.542926,24.150405,2
40,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,14,臺中市,龍井區,0,0,0,7,,,60,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,40,40,1,6,4,120.574453,24.180528,3
41,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,20,臺中市,梧棲區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,1,1,1,12,4,120.536166,24.24375,3
42,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,22,臺中市,南屯區,0,0,0,7,,,40,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,6,4,120.6114,24.134885,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,22,臺中市,大甲區,0,1,0,7,3,6,50,3,9,1,5,4,6,6,1,1,5,4,5,1,3,3,10,3,1,B12,7,5,1,8,2,5,,10,10,1,12,4,120.62712,24.345342,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,22,臺中市,東勢區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,1,1,8,3,4,1,11,3,10,5,4,B03,7,1,1,8,2,8,,51,51,1,12,4,120.833067,24.243965,2
45,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,23,臺中市,大里區,0,0,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,4,1,17,,,,,B03,,,1,,2,,,39,39,1,13,4,120.68872,24.102845,3
46,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,27,臺中市,霧峰區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,1,1,1,3,4,1,17,3,10,3,1,B03,7,5,1,8,2,5,,20,20,1,6,4,120.69599,24.065272,2
47,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,28,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,12,4,120.696201,24.14275,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,31,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,87,87,1,12,4,120.782603,24.202148,3
49,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,37,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,2,,,55,55,1,11,4,120.723082,24.118494,3
50,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,40,臺中市,北屯區,0,2,0,6,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,13,2,8,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.685481,24.173387,2
51,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,42,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,7,7,1,6,4,120.618151,24.340499,3
52,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,43,臺中市,石岡區,0,0,0,7,,,70,,,,,,,,,,,,,,13,,,,,B12,,,1,,2,,,84,84,1,12,4,120.762539,24.277022,3
53,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,52,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,8,9,,,8,8,1,12,4,120.714719,24.176461,3
54,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,53,臺中市,神岡區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,5,5,1,16,2,9,1,1,C03,7,9,5,19,2,11,,5,5,1,12,4,120.664638,24.259602,2
55,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,10,55,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,49,49,1,13,4,120.689253,24.195203,3
56,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,0,臺中市,大雅區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,59,59,1,13,4,120.64766,24.220732,3
57,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,0,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B02,,,1,,1,,,59,59,1,13,4,120.610857,24.190545,3
58,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,5,臺中市,石岡區,0,0,0,7,,,30,,,,,,,,,,,,,,2,,,,,B03,,,1,,2,,,49,49,1,13,4,120.789566,24.272838,3
59,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,6,臺中市,東區,0,2,0,7,2,6,50,5,1,1,5,4,6,6,2,1,10,5,5,2,9,3,10,3,1,B01,7,1,1,4,2,2,,59,59,1,12,4,120.694573,24.142711,2
60,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,6,臺中市,霧峰區,0,2,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,4,5,1,18,2,8,1,1,C03,7,9,1,10,2,14,11,94,94,1,12,4,120.673561,24.045668,2
61,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,9,臺中市,沙鹿區,0,1,0,7,2,6,40,13,8,1,5,4,6,6,4,4,1,5,5,1,16,3,10,3,1,B03,7,5,1,8,2,2,,84,84,1,6,4,120.572301,24.233289,2
62,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,14,臺中市,東區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,3,4,4,2,17,3,10,1,1,C03,7,9,1,10,2,14,,7,7,1,12,4,120.694457,24.147985,2
63,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,23,臺中市,大里區,0,0,0,7,3,6,50,13,7,1,5,4,6,6,4,4,5,4,4,2,13,,,,,B03,,,1,,1,,,84,84,1,12,4,120.680574,24.109227,3
64,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,29,臺中市,北屯區,0,1,0,7,2,6,50,4,2,1,5,4,6,6,2,1,4,1,5,2,13,2,9,1,1,C03,7,8,3,19,2,11,,26,26,1,13,4,120.704783,24.16949,2
65,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,35,臺中市,大安區,0,0,0,7,,,90,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,40,40,1,12,4,120.585762,24.364999,3
66,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,42,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,59,1,6,4,120.620761,24.145181,3
67,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,47,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,13,4,120.713447,24.173116,3
68,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,48,臺中市,大里區,0,0,0,7,2,6,40,13,8,1,5,4,6,6,4,4,9,5,4,2,14,,,,,B03,,,1,,2,,,50,50,1,13,4,120.68589,24.103366,3
69,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,49,臺中市,東區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,13,3,10,2,1,C03,7,9,1,10,2,11,,7,7,1,13,4,120.688096,24.143175,2
70,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,49,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,11,,,,,C03,,,1,,1,,,50,50,1,13,4,120.647192,24.168388,3
71,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,51,臺中市,中區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,2,1,5,4,4,1,16,3,10,3,1,B03,7,5,1,8,2,6,,26,26,1,13,4,120.68441,24.142181,2
72,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,52,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,40,40,1,13,4,120.702273,24.201453,3
73,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,53,臺中市,霧峰區,0,0,0,7,,,40,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,84,84,1,6,4,120.742501,24.059279,3
74,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,11,58,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,3,,1,,,59,59,1,6,4,120.637457,24.146446,3
75,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,1,臺中市,豐原區,0,0,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,4,5,2,13,3,10,1,1,C03,7,9,5,19,9,11,,7,7,1,12,4,120.715831,24.249865,3
76,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,5,臺中市,大雅區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,49,49,1,12,4,120.646146,24.227251,3
77,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,9,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,11,11,1,13,4,120.74766,24.266563,3
78,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,15,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,9,,,85,85,1,12,4,120.680011,24.132302,3
79,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,16,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,50,50,1,13,4,120.727587,24.171847,3
80,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,18,臺中市,北區,0,0,0,7,2,6,50,13,9,1,5,4,6,6,4,4,3,4,5,2,14,,,,,B03,,,1,,2,,,50,50,1,12,4,120.675265,24.14908,3
81,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,20,臺中市,太平區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,1,1,10,5,5,2,17,2,9,5,4,C03,7,9,1,8,2,12,,21,21,1,6,4,120.715887,24.12613,2
82,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,25,臺中市,西區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,5,4,B03,7,6,1,8,2,6,,11,11,1,12,4,120.675422,24.133556,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,26,臺中市,北區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,5,5,5,2,15,3,10,3,1,B03,7,9,1,8,2,2,,21,21,1,12,4,120.676654,24.161693,2
84,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,31,臺中市,西屯區,0,0,0,7,3,6,40,4,9,1,5,4,6,6,2,1,1,4,1,2,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.634859,24.178968,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,38,臺中市,神岡區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,6,4,120.69768,24.24874,3
86,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,41,臺中市,霧峰區,0,1,0,6,3,6,30,11,9,1,4,2,6,6,4,4,10,5,5,2,18,2,8,2,3,C03,7,9,1,10,2,12,,84,84,1,12,4,120.795444,24.042357,2
87,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,50,臺中市,大雅區,0,1,0,7,3,6,30,4,9,1,5,4,6,6,1,1,10,5,5,1,10,2,8,1,1,C03,7,9,1,10,2,11,14,84,84,1,12,4,120.650247,24.212002,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,50,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,58,58,1,12,4,120.570024,24.219677,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,12,58,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,50,50,1,12,4,120.685413,24.188671,3
90,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,2,臺中市,清水區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,48,48,1,12,4,120.576451,24.271502,3
91,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,10,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,4,2,16,3,10,3,1,B03,7,11,1,8,2,8,,45,45,1,6,4,120.653004,24.130015,2
92,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,15,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,8,8,1,12,4,120.700678,24.249414,3
93,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,20,臺中市,豐原區,0,0,0,7,,,30,,,,,,,,,,,,,,25,,,,,B03,,,1,,2,,,49,49,1,12,4,120.747095,24.275969,3
94,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,23,臺中市,龍井區,0,0,0,7,,,70,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,59,59,1,6,4,120.543247,24.17261,3
95,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,24,臺中市,豐原區,0,2,0,7,2,6,50,4,7,1,5,4,6,6,2,1,1,2,5,2,12,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,12,4,120.721737,24.251928,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,25,臺中市,豐原區,0,1,0,7,2,6,40,7,11,1,5,4,6,6,4,4,1,5,5,2,18,2,9,5,4,B03,7,9,1,10,2,16,,84,84,1,13,4,120.733898,24.263682,2
97,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,29,臺中市,北屯區,0,0,0,7,,,40,,,,,,,,,,,,,,16,,,,,C03,,,1,,1,,,84,84,1,12,4,120.66065,24.191436,3
98,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,36,臺中市,西區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,5,1,8,2,7,,47,47,1,13,4,120.657261,24.139286,2
99,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,39,臺中市,烏日區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,7,1,6,4,120.603315,24.11456,3
100,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,42,臺中市,北屯區,0,1,0,7,2,6,50,13,7,1,5,4,6,6,4,4,5,5,4,2,17,2,9,1,1,C03,7,8,3,19,2,12,,34,34,1,13,4,120.69042,24.17359,2
101,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,53,臺中市,潭子區,0,0,0,7,,,80,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,13,4,120.718371,24.197504,3
102,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,55,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,49,49,1,13,4,120.622879,24.148211,3
103,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,13,59,臺中市,龍井區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,6,4,120.546484,24.19488,3
104,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,1,臺中市,神岡區,0,0,0,7,,,40,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,13,4,120.694531,24.248597,3
105,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,1,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,84,84,1,12,4,120.717598,24.243888,3
106,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,3,臺中市,和平區,0,0,0,7,,,30,,,,,,,,,,,,,,11,,,,,B03,,,1,,1,,,87,87,1,12,4,121.324678,24.352129,3
107,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,4,臺中市,北區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,1,1,C03,7,9,1,10,2,12,,15,15,1,13,4,120.687556,24.164004,2
108,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,5,臺中市,豐原區,0,1,0,7,3,6,50,13,7,1,5,4,6,6,4,4,5,5,4,2,9,3,10,5,4,A02,7,9,1,2,2,15,,7,7,1,12,4,120.715539,24.251057,2
109,66000,387130000C,(04)23274275,(04)23288582,2025,02,1,14,8,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,5,1,8,2,2,,26,26,1,12,4,120.671438,24.145419,2
