﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,0,31,臺中市,沙鹿區,0,2,0,7,1,6,40,3,1,1,5,4,6,6,1,1,1,4,1,2,16,4,11,1,1,C03,7,6,3,19,2,14,,48,48,1,5,4,120.578473,24.223421,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,0,45,臺中市,西屯區,0,1,0,7,1,6,50,4,4,1,5,4,6,6,1,1,5,4,5,2,13,3,10,3,1,B03,7,9,1,8,2,1,,59,59,1,12,4,120.637968,24.180793,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,3,30,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B01,,,1,,2,,,8,8,1,6,4,120.618184,24.113599,4
4,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,3,46,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,7,7,1,13,4,120.646663,24.110379,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,4,42,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,9,,,59,59,1,12,4,120.658136,24.182923,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,4,56,臺中市,南區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,4,4,3,4,5,2,28,2,9,2,1,C03,7,9,1,10,2,11,,84,84,1,13,4,120.671398,24.119158,2
7,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,25,臺中市,大雅區,0,2,0,7,2,6,30,3,1,1,5,4,6,6,4,4,5,4,5,2,17,2,9,1,1,C03,7,6,1,10,1,14,,20,20,1,13,4,120.620626,24.236086,2
8,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,26,臺中市,大雅區,0,1,0,7,1,6,50,3,1,1,5,4,6,6,1,1,5,1,5,2,17,,,,,,,21,,,,,,86,86,2,,,120.647902,24.215929,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,27,臺中市,大甲區,0,1,0,7,3,6,50,13,8,1,5,4,6,6,4,4,5,5,4,2,27,2,9,3,1,B12,7,9,1,8,2,1,,82,82,1,6,4,120.625162,24.35262,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,43,臺中市,梧棲區,0,1,0,7,2,6,40,4,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B03,7,8,1,8,2,4,,12,12,1,12,4,120.537046,24.251316,2
11,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,53,臺中市,大雅區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,8,4,5,1,13,2,9,1,1,C03,7,4,1,10,2,14,,84,84,1,13,4,120.655366,24.235868,2
12,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,54,臺中市,大雅區,0,1,0,7,1,6,50,3,2,1,5,4,6,6,1,1,4,1,4,1,17,,,,,,,21,,,,,,86,86,2,,,120.643328,24.228104,2
13,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,6,54,臺中市,南屯區,0,2,0,7,2,6,30,5,1,1,5,4,6,6,4,4,5,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,11,,12,12,1,12,4,120.639412,24.147747,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,0,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,13,3,10,3,1,B03,7,9,1,8,2,1,,7,7,1,12,4,120.719532,24.18223,2
15,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,1,臺中市,龍井區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,13,4,120.587367,24.185177,3
16,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,3,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,21,21,1,6,4,120.654596,24.403061,3
17,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,4,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,87,87,1,6,4,120.670076,24.114792,3
18,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,5,臺中市,南屯區,0,2,0,7,1,6,40,4,1,1,5,4,6,6,2,1,10,5,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,21,21,1,6,4,120.630811,24.144949,2
19,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,5,臺中市,大里區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,8,,84,84,1,12,4,120.680534,24.103831,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,9,臺中市,西屯區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,15,2,9,5,1,C03,7,9,1,10,2,11,,21,21,1,12,4,120.648767,24.168809,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,10,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,4,2,17,3,10,3,1,B03,7,11,1,8,2,7,,45,45,1,12,4,120.644041,24.131311,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,10,臺中市,北屯區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,1,1,C03,7,11,1,10,2,14,,45,45,1,12,4,120.715584,24.174566,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,10,臺中市,北屯區,0,1,0,6,3,6,40,3,2,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,6,4,120.707382,24.173993,2
24,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,15,臺中市,清水區,0,0,0,7,2,6,50,13,9,1,5,4,,6,4,4,9,4,5,2,12,,,,,C03,,,1,,9,,,7,7,1,12,4,120.557934,24.277959,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,19,臺中市,西屯區,0,1,0,6,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,17,3,10,3,1,B03,7,1,1,8,5,4,,51,51,1,12,4,120.615898,24.174423,2
26,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,21,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,A02,,,1,,1,,,40,40,1,6,4,120.626497,24.14022,3
27,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,21,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,13,4,120.65547,24.197595,3
28,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,22,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,7,7,1,12,4,120.698856,24.135055,3
29,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,23,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,6,4,120.778243,24.198924,3
30,66000,387130000C,(04)23274275,(04)23288582,2025,09,1,7,24,臺中市,大里區,0,0,0,7,3,3,40,13,17,1,5,4,6,6,4,4,10,5,5,2,13,,,,,B03,,,1,,2,,,84,84,1,12,4,120.693577,24.105015,3
