﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分(類別),車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,3,臺中市,太平區,0,1,0,7,1,6,50,11,9,1,5,4,6,6,4,4,10,5,5,2,17,2,3,1,1,C03,7,9,1,10,2,11,,84,84,1,12,4,120.713359,24.151115,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,25,臺中市,霧峰區,0,0,0,7,,,30,,,,,,,,,,,,,,19,,,,,B03,,,1,,2,,,43,43,1,12,4,120.686693,24.040096,3
3,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,38,臺中市,北區,0,1,0,7,1,6,50,4,4,1,5,4,6,6,1,1,5,4,5,2,13,3,10,3,1,B03,7,9,5,19,2,1,,59,59,1,13,4,120.675156,24.16698,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,49,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,10,,,,,B03,,,1,,2,,,26,26,1,12,4,120.653501,24.166259,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,52,臺中市,龍井區,0,0,0,7,,,30,,,,,,,,,,,,,,12,,,,,C03,,,1,,9,,,8,8,1,12,4,120.589934,24.181512,3
6,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,0,53,臺中市,西屯區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,5,4,4,2,16,3,10,3,1,B03,7,6,1,8,2,8,,11,11,1,12,4,120.662707,24.163598,2
7,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,1,22,臺中市,西屯區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,12,4,120.646454,24.164454,3
8,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,1,30,臺中市,大雅區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,4,5,5,1,30,2,8,5,4,C03,7,15,2,19,2,12,,84,84,1,13,4,120.672911,24.230791,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,1,43,臺中市,沙鹿區,0,0,0,5,,,70,,,,,,,,,,,,,,13,,,,,B03,,,1,,3,,,7,7,1,6,4,120.575288,24.247375,3
10,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,1,58,臺中市,西屯區,0,2,0,7,1,6,50,5,1,1,5,4,6,6,1,1,3,2,5,2,16,3,10,3,1,B03,7,6,1,1,2,2,,11,11,1,12,4,120.64693,24.168943,2
11,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,2,52,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,10,,,84,84,1,12,4,120.698728,24.12705,3
12,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,2,53,臺中市,東區,0,0,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,17,3,10,5,4,B03,7,9,1,8,9,1,,52,52,2,13,4,120.698875,24.128001,3
13,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,3,28,臺中市,西區,0,2,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,5,4,B02,7,9,1,4,2,16,,21,21,1,12,4,120.681518,24.136507,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,3,30,臺中市,西屯區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,84,84,1,12,4,120.649913,24.162575,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,5,25,臺中市,南區,1,1,0,7,1,6,50,13,7,1,5,4,6,6,4,4,1,4,4,2,23,1,9,2,1,C03,7,9,2,19,2,11,,84,84,1,13,4,120.68203,24.128262,1
16,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,6,0,臺中市,太平區,0,1,0,7,1,6,40,13,7,1,5,4,6,6,4,4,5,2,4,1,16,3,10,3,1,B03,7,11,5,8,2,8,,45,45,1,6,4,120.704431,24.148227,2
17,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,6,22,臺中市,石岡區,0,2,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,4,2,12,2,8,5,4,C03,7,9,2,19,2,11,,59,59,1,13,4,120.779282,24.282467,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,12,1,6,40,臺中市,新社區,0,1,0,7,2,6,50,3,9,1,5,4,6,6,4,4,10,5,5,2,18,2,9,5,4,C03,7,5,1,10,2,16,,59,59,1,13,4,120.798795,24.259738,2
