﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,0,9,臺中市,東區,0,1,0,7,1,6,50,14,9,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,15,1,8,2,8,,18,18,1,13,4,120.696672,24.150865,2
2,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,0,27,臺中市,北區,0,3,0,7,1,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,17,2,9,5,4,C03,7,9,1,10,2,11,,24,24,1,13,4,120.673621,24.157528,2
3,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,0,31,臺中市,西區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,9,3,10,5,4,B03,7,6,1,8,2,1,,84,84,1,12,4,120.668329,24.142452,2
4,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,1,1,臺中市,豐原區,0,0,0,7,,,60,,,,,,,,,,,,,,12,,,,,B03,,,1,,9,,,40,40,1,6,4,120.703188,24.246629,3
5,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,1,26,臺中市,太平區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,6,1,8,2,8,,11,11,1,12,4,120.710896,24.151066,2
6,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,2,14,臺中市,中區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B01,,,1,,1,,,49,49,1,12,4,120.676053,24.142614,3
7,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,2,15,臺中市,后里區,0,0,0,7,1,6,50,13,14,1,5,4,6,6,4,4,5,5,5,2,30,3,10,3,1,B03,7,9,1,8,2,5,,84,84,1,12,4,120.698313,24.317979,3
8,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,3,41,臺中市,西屯區,0,1,0,7,1,6,40,5,1,1,5,4,6,6,3,1,10,5,5,2,15,2,9,5,4,C03,7,9,1,10,2,12,,24,24,1,12,4,120.639323,24.171719,2
9,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,3,42,臺中市,西屯區,0,1,0,7,1,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,12,2,1,5,4,B02,7,5,1,8,2,5,,56,56,1,13,4,120.62262,24.186248,2
10,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,5,5,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,30,,,,,B12,,,1,,2,,,84,84,1,13,4,120.6799,24.153171,3
11,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,5,6,臺中市,霧峰區,0,0,0,7,1,6,50,13,14,1,5,4,6,6,4,4,5,5,4,1,17,,,,,B03,,,1,,2,,,51,51,1,6,4,120.706724,24.076471,3
12,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,5,37,臺中市,大里區,0,1,0,7,1,6,50,4,1,1,5,4,6,6,2,1,3,4,4,1,16,3,10,5,4,B03,7,6,3,19,2,5,,25,25,1,13,4,120.691781,24.100739,2
13,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,5,58,臺中市,大雅區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,4,4,5,5,5,1,18,2,9,1,1,C03,7,9,1,10,2,12,,84,84,1,13,4,120.648657,24.240278,2
14,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,6,5,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,59,59,1,12,4,120.704925,24.20029,3
15,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,6,43,臺中市,烏日區,0,1,0,7,2,6,40,3,1,1,5,4,6,6,2,1,10,5,5,2,16,2,9,1,1,C03,7,6,3,19,2,12,14,23,23,1,6,4,120.618679,24.102583,2
16,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,6,51,臺中市,大里區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,4,4,5,4,5,1,16,2,7,5,4,C03,7,6,1,10,2,14,,14,14,1,13,4,120.680037,24.101077,2
17,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,6,57,臺中市,北屯區,0,2,0,7,2,6,50,4,2,1,5,4,6,6,1,1,1,4,5,2,17,2,9,1,1,C03,7,8,1,10,2,14,,40,40,1,12,4,120.719478,24.18209,2
18,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,5,臺中市,和平區,0,0,0,7,3,6,30,13,9,1,5,4,6,6,4,4,10,5,2,2,2,3,10,3,1,B03,7,9,1,8,1,1,,59,59,1,12,4,121.24473,24.24984,3
19,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,14,臺中市,神岡區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,17,2,9,5,4,C03,7,9,1,10,2,11,,84,84,1,13,4,120.706832,24.260064,2
20,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,25,臺中市,清水區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,9,4,5,2,17,3,10,3,1,B03,7,1,1,8,2,5,,51,51,1,12,4,120.560115,24.267625,2
21,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,27,臺中市,太平區,0,1,0,7,2,6,50,11,14,1,5,4,6,6,4,4,5,4,5,1,13,2,9,2,1,C03,7,9,1,10,2,12,,84,84,1,13,4,120.729513,24.13507,2
22,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,29,臺中市,西區,0,3,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,9,2,1,C03,7,9,1,10,2,11,12,15,15,1,12,4,120.668161,24.153646,2
23,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,34,臺中市,西區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,4,1,12,2,9,1,1,C04,7,8,1,11,2,14,,40,40,1,13,4,120.671435,24.137195,2
24,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,40,臺中市,清水區,0,0,0,7,,,90,,,,,,,,,,,,,,17,,,,,C02,,,1,,1,,,40,40,1,12,4,120.546929,24.274986,3
25,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,40,臺中市,梧棲區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,6,4,120.545363,24.227227,3
26,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,45,臺中市,梧棲區,0,3,0,7,2,6,60,4,2,1,5,4,6,6,1,1,1,2,5,1,13,3,10,3,1,A31,7,9,1,1,2,5,,7,7,1,6,4,120.534773,24.246765,2
27,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,7,51,臺中市,大里區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,84,84,1,12,4,120.672085,24.114835,2
28,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,0,臺中市,北區,0,0,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,12,3,10,3,1,B03,7,9,3,19,6,5,,39,39,1,12,4,120.677303,24.151254,3
29,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,0,臺中市,太平區,0,1,0,7,3,6,30,11,9,1,5,4,6,6,4,4,10,5,5,1,18,2,9,1,1,C03,7,15,1,10,2,14,,84,84,1,12,4,120.756986,24.07929,2
30,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,0,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,C03,,,5,,11,,,49,49,2,12,4,120.713801,24.151932,3
31,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,3,臺中市,清水區,0,1,0,7,3,6,40,4,2,1,5,4,6,6,1,1,1,4,4,1,17,2,8,1,1,C03,7,5,1,10,2,11,,6,6,1,12,4,120.561928,24.262821,2
