﻿﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分_類別,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
32,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,12,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.676748,24.155729,3
33,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,15,臺中市,沙鹿區,0,0,0,7,,,60,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,12,4,120.575288,24.247375,3
34,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,17,臺中市,北屯區,0,1,0,7,2,6,50,3,2,1,5,4,6,6,1,1,10,5,5,2,13,3,10,3,1,B03,7,9,1,8,2,5,,56,56,1,6,4,120.70566,24.172837,2
35,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,18,臺中市,龍井區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,4,4,9,4,5,1,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.546768,24.214151,2
36,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,21,臺中市,西屯區,0,0,0,7,,,30,,,,,,,,,,,,,,9,,,,,B12,,,1,,1,,,8,8,1,12,4,120.617871,24.180619,3
37,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,39,臺中市,潭子區,0,0,0,7,,,40,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,84,1,13,4,120.707211,24.200712,3
38,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,39,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,2,9,5,4,C03,7,9,1,10,2,11,,7,7,1,12,4,120.679428,24.152156,2
39,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,42,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,56,56,1,12,4,120.629331,24.113111,3
40,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,42,臺中市,沙鹿區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,5,4,4,2,15,3,10,3,1,B03,7,9,1,8,2,2,,21,21,1,13,4,120.566297,24.250545,2
41,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,47,臺中市,北區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,A05,,,1,,2,,,51,51,1,13,4,120.667657,24.157424,3
42,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,48,臺中市,西區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,,2,,,84,84,1,12,4,120.669037,24.136886,3
43,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,8,57,臺中市,沙鹿區,0,2,0,7,2,6,40,13,8,1,5,4,6,6,1,1,1,2,5,2,13,2,9,2,1,C03,7,9,1,10,2,11,,59,59,1,6,4,120.578477,24.223393,2
44,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,10,臺中市,霧峰區,0,0,0,7,,,40,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,13,4,120.661988,24.069919,3
45,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,12,臺中市,神岡區,0,3,0,7,1,6,50,5,1,1,5,4,6,6,1,1,5,5,5,1,13,2,9,1,4,C03,7,9,1,10,2,11,,39,39,1,12,4,120.656007,24.254519,2
46,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,15,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,9,,,51,51,1,12,4,120.675946,24.174146,3
47,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,17,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,16,,,,,F01,,,1,,2,,,39,39,1,12,4,120.685876,24.154916,3
48,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,18,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,44,44,1,12,4,120.689437,24.200789,3
49,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,19,臺中市,潭子區,0,0,0,7,,,30,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,50,50,1,13,4,120.692442,24.220357,3
50,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,20,臺中市,霧峰區,0,2,0,7,2,6,40,13,8,1,5,4,6,6,4,4,3,4,4,1,13,2,9,2,1,C03,7,9,3,19,2,11,,7,7,1,6,4,120.692181,24.045918,2
51,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,25,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,15,,,,,C03,,,1,,2,,,7,7,1,12,4,120.629511,24.345139,3
52,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,28,臺中市,豐原區,0,1,0,7,2,6,50,11,7,1,5,4,6,6,4,4,5,4,4,2,14,3,10,3,1,B03,7,2,1,8,2,8,,85,85,1,12,4,120.716311,24.2574,2
53,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,29,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,C03,,,1,,1,,,84,84,1,12,4,120.710405,24.140847,3
54,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,35,臺中市,沙鹿區,0,1,0,7,3,6,40,13,8,1,5,4,6,6,4,4,1,4,4,2,17,3,10,3,1,B03,7,7,1,8,2,5,,40,40,1,7,4,120.563492,24.206423,2
55,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,38,臺中市,大里區,0,2,0,6,2,6,50,4,2,1,5,4,6,6,4,4,5,5,5,1,13,2,8,1,1,C03,7,9,1,11,2,11,,58,58,1,13,4,120.696901,24.090514,2
56,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,38,臺中市,霧峰區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,13,2,7,1,1,C03,7,9,1,10,2,11,,58,58,1,13,4,120.709548,24.082464,2
57,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,40,臺中市,南區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,9,5,5,2,12,2,8,1,1,C03,7,1,1,10,2,14,,51,51,1,12,4,120.653047,24.114107,2
58,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,42,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,12,3,10,3,1,B03,7,9,1,8,2,2,,59,59,1,12,4,120.70579,24.178092,2
59,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,43,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,1,4,4,1,15,2,9,2,1,C03,7,9,1,9,2,14,,21,21,1,13,4,120.668365,24.129905,2
60,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,43,臺中市,烏日區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,3,10,3,1,B01,7,5,1,8,2,2,,47,47,1,6,4,120.628283,24.108847,2
61,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,45,臺中市,西區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,2,9,2,1,C03,7,15,1,10,2,11,12,84,84,1,12,4,120.667296,24.140603,2
62,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,45,臺中市,北區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,18,2,9,5,4,C03,7,9,1,10,2,12,,21,21,1,12,4,120.683609,24.14294,2
63,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,45,臺中市,北屯區,0,0,0,7,,,30,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,51,51,1,12,4,120.668977,24.183513,3
64,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,47,臺中市,太平區,0,1,0,7,3,6,50,3,9,1,5,4,6,6,4,4,5,5,5,1,13,3,10,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.718826,24.127058,2
65,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,48,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,4,4,1,12,4,120.704112,24.106743,3
66,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,51,臺中市,清水區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,3,1,9,4,4,2,13,3,10,3,1,B03,7,6,1,8,2,8,,20,20,1,12,4,120.559096,24.27495,2
67,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,53,臺中市,西屯區,0,1,0,7,2,6,1,13,9,1,5,4,6,6,4,4,1,4,5,2,14,3,10,4,1,B03,7,2,1,8,1,6,,84,84,1,12,4,120.643611,24.17197,2
68,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,54,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,54,54,1,12,4,120.719099,24.126804,3
69,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,57,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,1,,,84,84,1,13,4,120.571406,24.242795,3
70,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,9,58,臺中市,北屯區,0,2,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,11,2,9,1,1,C03,7,9,1,10,2,11,,59,59,1,12,4,120.736914,24.17856,2
71,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,0,臺中市,清水區,0,2,0,7,3,6,50,4,2,1,5,4,6,6,1,1,5,4,5,1,13,3,10,2,1,C03,7,9,1,10,11,11,,7,7,1,12,4,120.564942,24.273827,2
72,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,13,臺中市,北屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,17,3,10,3,1,B03,7,6,1,8,2,7,,39,39,1,6,4,120.729659,24.176733,2
73,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,15,臺中市,南屯區,0,0,0,7,3,6,50,13,9,1,5,4,6,6,1,1,5,5,4,2,13,,,,,B03,,,1,,1,,,59,59,1,12,4,120.643846,24.1488,3
74,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,24,臺中市,北區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,2,1,1,4,4,2,17,2,9,1,1,C03,7,6,1,10,2,14,,84,84,1,13,4,120.699,24.155325,2
75,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,25,臺中市,大里區,0,0,0,7,,,50,,,,,,,,,,,,,,12,,,,,C03,,,1,,2,,,26,26,1,13,4,120.687281,24.115269,3
76,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,25,臺中市,梧棲區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,84,84,1,6,4,120.551927,24.24389,3
77,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,29,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,3,,2,,,55,55,1,12,4,120.693768,24.174321,3
78,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,30,臺中市,南屯區,0,0,0,7,,,0,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,50,50,1,13,4,120.638202,24.137913,3
79,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,30,臺中市,沙鹿區,0,0,0,7,,,0,,,,,,,,,,,,,,17,,,,,C03,,,1,,2,,,78,78,1,12,4,120.569545,24.239776,3
80,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,31,臺中市,南屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,5,,11,11,1,12,4,120.643965,24.134737,2
81,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,35,臺中市,后里區,0,0,0,7,3,6,50,13,7,1,5,4,6,6,2,1,1,4,4,1,13,3,10,3,1,B03,7,9,1,8,2,1,,7,7,1,6,4,120.723665,24.295507,3
82,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,40,臺中市,豐原區,0,2,0,7,2,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,16,2,8,5,4,F02,7,6,7,21,2,12,,14,14,1,12,4,120.708885,24.240575,2
83,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,50,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,84,84,1,12,4,120.685966,24.175485,3
84,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,52,臺中市,南屯區,0,0,0,7,3,6,50,13,9,1,5,4,6,6,1,1,5,4,5,2,12,,,,,B03,,,3,,2,,,84,84,1,12,4,120.64987,24.136727,3
85,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,55,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,C03,,,1,,1,,,84,84,1,12,4,120.683547,24.142837,3
86,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,10,57,臺中市,東區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,1,1,10,5,5,2,17,2,9,1,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.684947,24.13522,2
87,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,0,臺中市,烏日區,0,2,0,7,2,6,40,4,1,1,5,4,6,6,4,4,5,4,4,1,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,6,4,120.621202,24.106475,2
88,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,0,臺中市,大甲區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,85,85,1,12,4,120.628207,24.348573,3
89,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,5,臺中市,南屯區,0,0,0,7,,,40,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,84,84,1,12,4,120.641858,24.145489,3
90,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,6,臺中市,霧峰區,0,2,0,7,2,6,40,13,8,1,5,4,6,6,4,4,5,5,4,1,13,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,6,4,120.698276,24.060419,2
91,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,7,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B01,,,1,,1,,,7,7,1,12,4,120.719915,24.252733,3
92,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,8,臺中市,大安區,0,1,0,7,3,6,50,3,2,1,5,4,6,6,4,4,5,5,5,1,17,2,8,6,1,F01,7,11,7,21,1,11,,46,46,1,2,4,120.590466,24.337625,2
93,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,10,臺中市,中區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,2,1,10,5,5,2,17,3,10,1,1,C03,7,6,1,10,2,14,,84,84,1,13,4,120.68076,24.137183,2
94,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,11,臺中市,豐原區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,49,1,12,4,120.718957,24.252437,3
95,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,12,臺中市,大里區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,1,17,2,9,1,1,C03,7,9,1,10,2,11,,4,4,1,12,4,120.682865,24.105954,2
96,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,15,臺中市,西屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B12,,,1,,1,,,7,7,1,12,4,120.636528,24.170784,3
97,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,16,臺中市,大里區,0,1,0,7,3,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,2,8,1,1,C03,7,9,1,10,2,11,,15,15,1,13,4,120.699269,24.103733,2
98,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,19,臺中市,西屯區,0,0,0,7,,,70,,,,,,,,,,,,,,13,,,,,B12,,,1,,1,,,59,59,1,12,4,120.587624,24.185457,3
99,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,20,臺中市,北屯區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,10,5,5,2,17,2,9,2,1,C03,7,4,1,10,1,12,,84,84,1,6,4,120.731702,24.159705,2
100,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,20,臺中市,沙鹿區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,3,1,10,5,5,2,18,2,9,2,1,C03,7,6,1,10,2,12,,59,59,1,6,4,120.563507,24.235107,2
101,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,22,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,17,,,,,C03,,,1,,1,,,58,58,1,6,4,120.698307,24.18298,3
102,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,22,臺中市,新社區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,3,1,10,5,5,2,12,2,9,1,4,C03,7,9,1,10,4,11,,85,85,1,12,4,120.809063,24.240497,2
103,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,23,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,84,84,1,12,4,120.689109,24.163217,3
104,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,26,臺中市,霧峰區,0,0,0,7,,,80,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,7,7,1,12,4,120.685615,24.056039,3
105,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,29,臺中市,豐原區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,5,5,4,2,16,2,9,2,1,C03,7,9,1,10,2,11,,85,85,1,12,4,120.706931,24.254896,2
106,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,30,臺中市,北區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,5,5,5,2,17,2,9,5,1,C03,7,9,1,10,2,11,,59,59,1,13,4,120.673873,24.155236,2
107,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,34,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,14,,,,,B03,,,1,,1,,,49,49,1,6,4,120.723778,24.126578,3
108,66000,387130000C,(04)23274275,(04)23288582,2025,03,1,11,35,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,7,1,6,4,120.568973,24.222568,3
